ekatte,region,municipality,settlement,permanent_2012,current_2012
02676,БЛАГОЕВГРАД,БАНСКО,ГР. БАНСКО,9247,8248
21498,БЛАГОЕВГРАД,БАНСКО,ГР. ДОБРИНИЩЕ,2863,2679
17381,БЛАГОЕВГРАД,БАНСКО,С. ГОСТУН,46,60
39614,БЛАГОЕВГРАД,БАНСКО,С. КРЕМЕН,206,196
47857,БЛАГОЕВГРАД,БАНСКО,С. МЕСТА,242,234
53059,БЛАГОЕВГРАД,БАНСКО,С. ОБИДИМ,96,113
54136,БЛАГОЕВГРАД,БАНСКО,С. ОСЕНОВО,77,67
76090,БЛАГОЕВГРАД,БАНСКО,С. ФИЛИПОВО,679,627
03504,БЛАГОЕВГРАД,БЕЛИЦА,ГР. БЕЛИЦА,3520,3216
02107,БЛАГОЕВГРАД,БЕЛИЦА,С. БАБЯК,820,775
77596,БЛАГОЕВГРАД,БЕЛИЦА,С. ГОРНО КРАИЩЕ,1225,1164
15638,БЛАГОЕВГРАД,БЕЛИЦА,С. ГЪЛЪБОВО,59,69
20064,БЛАГОЕВГРАД,БЕЛИЦА,С. ДАГОНОВО,777,730
14521,БЛАГОЕВГРАД,БЕЛИЦА,С. ЗЛАТАРИЦА,95,126
39270,БЛАГОЕВГРАД,БЕЛИЦА,С. КРАИЩЕ,2590,2429
40453,БЛАГОЕВГРАД,БЕЛИЦА,С. КУЗЬОВО,271,271
44762,БЛАГОЕВГРАД,БЕЛИЦА,С. ЛЮТОВО,233,239
53998,БЛАГОЕВГРАД,БЕЛИЦА,С. ОРЦЕВО,200,198
59330,БЛАГОЕВГРАД,БЕЛИЦА,С. ПАЛАТИК,236,242
80649,БЛАГОЕВГРАД,БЕЛИЦА,С. ЧЕРЕШОВО,302,260
04279,БЛАГОЕВГРАД,БЛАГОЕВГРАД,ГР. БЛАГОЕВГРАД,81296,75351
03664,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. БЕЛО ПОЛЕ,6588,661
04217,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. БИСТРИЦА,39,65
