ekatte,region,municipality,settlement,permanent_2011,current_2011
02676,БЛАГОЕВГРАД,БАНСКО,ГР. БАНСКО,9237,8317
21498,БЛАГОЕВГРАД,БАНСКО,ГР. ДОБРИНИЩЕ,2884,2726
17381,БЛАГОЕВГРАД,БАНСКО,С. ГОСТУН,51,63
39614,БЛАГОЕВГРАД,БАНСКО,С. КРЕМЕН,219,205
47857,БЛАГОЕВГРАД,БАНСКО,С. МЕСТА,248,241
53059,БЛАГОЕВГРАД,БАНСКО,С. ОБИДИМ,100,118
54136,БЛАГОЕВГРАД,БАНСКО,С. ОСЕНОВО,83,71
76090,БЛАГОЕВГРАД,БАНСКО,С. ФИЛИПОВО,674,622
03504,БЛАГОЕВГРАД,БЕЛИЦА,ГР. БЕЛИЦА,3540,3240
02107,БЛАГОЕВГРАД,БЕЛИЦА,С. БАБЯК,822,774
77596,БЛАГОЕВГРАД,БЕЛИЦА,С. ГОРНО КРАИЩЕ,1239,1176
15638,БЛАГОЕВГРАД,БЕЛИЦА,С. ГЪЛЪБОВО,64,74
20064,БЛАГОЕВГРАД,БЕЛИЦА,С. ДАГОНОВО,764,718
14521,БЛАГОЕВГРАД,БЕЛИЦА,С. ЗЛАТАРИЦА,104,133
39270,БЛАГОЕВГРАД,БЕЛИЦА,С. КРАИЩЕ,2578,2429
40453,БЛАГОЕВГРАД,БЕЛИЦА,С. КУЗЬОВО,266,265
44762,БЛАГОЕВГРАД,БЕЛИЦА,С. ЛЮТОВО,236,245
53998,БЛАГОЕВГРАД,БЕЛИЦА,С. ОРЦЕВО,198,202
59330,БЛАГОЕВГРАД,БЕЛИЦА,С. ПАЛАТИК,245,251
80649,БЛАГОЕВГРАД,БЕЛИЦА,С. ЧЕРЕШОВО,304,264
04279,БЛАГОЕВГРАД,БЛАГОЕВГРАД,ГР. БЛАГОЕВГРАД,81223,75641
03664,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. БЕЛО ПОЛЕ,5054,674
04217,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. БИСТРИЦА,45,72
07168,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. БУЧИНО,69,63
07377,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. БЪЛГАРЧЕВО,259,312
14204,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ГАБРОВО,25,26
17004,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ГОРНО ХЪРСОВО,79,144
20328,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ДЕБОЧИЦА,24,23
20540,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ДЕЛВИНО,34,57
23652,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ДРЕНКОВО,84,58
24367,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ДЪБРАВА,71,55
27231,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЕЛЕНОВО,353,181
30702,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЗЕЛЕН ДОЛ,229,225
00134,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ИЗГРЕВ,558,556
37263,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. КЛИСУРА,30,23
43520,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЛЕШКО,638,266
