ekatte,region,municipality,settlement,permanent_2002,current_2002
02676,БЛАГОЕВГРАД,БАНСКО,ГР. БАНСКО,9345,8725
17381,БЛАГОЕВГРАД,БАНСКО,С. ГОСТУН,100,107
21498,БЛАГОЕВГРАД,БАНСКО,С. ДОБРИНИЩЕ,3058,2971
39614,БЛАГОЕВГРАД,БАНСКО,С. КРЕМЕН,336,318
47857,БЛАГОЕВГРАД,БАНСКО,С. МЕСТА,280,288
53059,БЛАГОЕВГРАД,БАНСКО,С. ОБИДИМ,164,175
54136,БЛАГОЕВГРАД,БАНСКО,С. ОСЕНОВО,133,113
76090,БЛАГОЕВГРАД,БАНСКО,С. ФИЛИПОВО,665,630
02107,БЛАГОЕВГРАД,БЕЛИЦА,С. БАБЯК,855,812
03504,БЛАГОЕВГРАД,БЕЛИЦА,ГР. БЕЛИЦА,3674,3427
14521,БЛАГОЕВГРАД,БЕЛИЦА,С. ЗЛАТАРИЦА,171,170
15638,БЛАГОЕВГРАД,БЕЛИЦА,С. ГЪЛЪБОВО,128,125
20064,БЛАГОЕВГРАД,БЕЛИЦА,С. ДАГОНОВО,730,720
39270,БЛАГОЕВГРАД,БЕЛИЦА,С. КРАИЩЕ,2307,2233
40453,БЛАГОЕВГРАД,БЕЛИЦА,С. КУЗЬОВО,303,314
44762,БЛАГОЕВГРАД,БЕЛИЦА,С. ЛЮТОВО,257,240
53998,БЛАГОЕВГРАД,БЕЛИЦА,С. ОРЦЕВО,232,229
59330,БЛАГОЕВГРАД,БЕЛИЦА,С. ПАЛАТИК,243,241
77596,БЛАГОЕВГРАД,БЕЛИЦА,С. ГОРНО КРАИЩЕ,1137,1096
80649,БЛАГОЕВГРАД,БЕЛИЦА,С. ЧЕРЕШОВО,296,276
00134,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ИЗГРЕВ,467,525
03664,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. БЕЛО ПОЛЕ,569,593
04217,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. БИСТРИЦА,63,110
04279,БЛАГОЕВГРАД,БЛАГОЕВГРАД,ГР. БЛАГОЕВГРАД,77366,77550
07168,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. БУЧИНО,99,91
07377,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. БЪЛГАРЧЕВО,245,285
14204,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ГАБРОВО,63,65
17004,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ГОРНО ХЪРСОВО,38,196
20328,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ДЕБОЧИЦА,23,47
20540,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ДЕЛВИНО,18,73
23652,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ДРЕНКОВО,84,92
24367,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ДЪБРАВА,97,86
27231,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЕЛЕНОВО,121,133
30702,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЗЕЛЕНДОЛ,192,235
37263,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. КЛИСУРА,13,21
