ekatte,region,municipality,settlement,permanent_2004,current_2004
02676,БЛАГОЕВГРАД,БАНСКО,ГР. БАНСКО,9207,8602
17381,БЛАГОЕВГРАД,БАНСКО,С. ГОСТУН,88,98
21498,БЛАГОЕВГРАД,БАНСКО,С. ДОБРИНИЩЕ,2986,2896
39614,БЛАГОЕВГРАД,БАНСКО,С. КРЕМЕН,311,288
47857,БЛАГОЕВГРАД,БАНСКО,С. МЕСТА,266,272
53059,БЛАГОЕВГРАД,БАНСКО,С. ОБИДИМ,142,155
54136,БЛАГОЕВГРАД,БАНСКО,С. ОСЕНОВО,118,96
76090,БЛАГОЕВГРАД,БАНСКО,С. ФИЛИПОВО,664,625
02107,БЛАГОЕВГРАД,БЕЛИЦА,С. БАБЯК,848,808
03504,БЛАГОЕВГРАД,БЕЛИЦА,ГР. БЕЛИЦА,3648,3387
14521,БЛАГОЕВГРАД,БЕЛИЦА,С. ЗЛАТАРИЦА,151,152
15638,БЛАГОЕВГРАД,БЕЛИЦА,С. ГЪЛЪБОВО,113,112
20064,БЛАГОЕВГРАД,БЕЛИЦА,С. ДАГОНОВО,730,715
39270,БЛАГОЕВГРАД,БЕЛИЦА,С. КРАИЩЕ,2342,2252
40453,БЛАГОЕВГРАД,БЕЛИЦА,С. КУЗЬОВО,287,290
44762,БЛАГОЕВГРАД,БЕЛИЦА,С. ЛЮТОВО,249,237
53998,БЛАГОЕВГРАД,БЕЛИЦА,С. ОРЦЕВО,222,224
59330,БЛАГОЕВГРАД,БЕЛИЦА,С. ПАЛАТИК,253,250
77596,БЛАГОЕВГРАД,БЕЛИЦА,С. ГОРНО КРАИЩЕ,1168,1120
80649,БЛАГОЕВГРАД,БЕЛИЦА,С. ЧЕРЕШОВО,288,276
00134,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ИЗГРЕВ,482,515
03664,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. БЕЛО ПОЛЕ,604,597
04217,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. БИСТРИЦА,73,102
04279,БЛАГОЕВГРАД,БЛАГОЕВГРАД,ГР. БЛАГОЕВГРАД,77270,76793
07168,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. БУЧИНО,86,83
07377,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. БЪЛГАРЧЕВО,249,274
14204,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ГАБРОВО,51,51
17004,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ГОРНО ХЪРСОВО,102,177
20328,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ДЕБОЧИЦА,20,41
20540,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ДЕЛВИНО,29,64
23652,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ДРЕНКОВО,83,92
24367,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ДЪБРАВА,100,77
27231,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЕЛЕНОВО,139,145
30702,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЗЕЛЕНДОЛ,236,228
37263,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. КЛИСУРА,16,19
43520,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЛЕШКО,233,238
43863,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЛИСИЯ,19,19
47370,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. МАРУЛЕВО,45,60
49179,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. МОЩАНЕЦ,35,48
53031,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ОБЕЛ,14,19
55107,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ПАДЕШ,706,710
57159,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ПОКРОВНИК,817,817
62699,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. РИЛЦИ,803,796
66055,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. СЕЛИЩЕ,269,365
68792,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЛОГОДАЖ,241,267
78464,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЦЕРОВО,691,670
02600,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. БАНИЧАН,650,640
05606,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. БОРОВО,1221,1142
06306,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. БРЕЗНИЦА,3706,3450
07003,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. БУКОВО,982,905
17347,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. ГОСПОДИНЦИ,454,458
17395,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,ГР. ГОЦЕ ДЕЛЧЕВ,22537,21188
20585,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. ДЕЛЧЕВО,79,73
21680,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. ДОБРОТИНО,46,53
23460,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. ДРАГОСТИН,2,1
38666,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. КОРНИЦА,2183,1713
44416,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. ЛЪЖНИЦА,1832,1446
49432,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. МУСОМИЩА,2333,2319
68391,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. СРЕДНА,6,36
02381,БЛАГОЕВГРАД,ГЪРМЕН,С. БАЛДЕВО,231,234
16763,БЛАГОЕВГРАД,ГЪРМЕН,С. ГОРНО ДРЯНОВО,1104,1083
18366,БЛАГОЕВГРАД,ГЪРМЕН,С. ГЪРМЕН,1919,1849
20331,БЛАГОЕВГРАД,ГЪРМЕН,С. ДЕБРЕН,2359,2265
22616,БЛАГОЕВГРАД,ГЪРМЕН,С. ДОЛНО ДРЯНОВО,1246,1228
24267,БЛАГОЕВГРАД,ГЪРМЕН,С. ДЪБНИЦА,2106,1690
37472,БЛАГОЕВГРАД,ГЪРМЕН,С. КОВАЧЕВИЦА,56,46
40138,БЛАГОЕВГРАД,ГЪРМЕН,С. КРУШЕВО,278,247
43606,БЛАГОЕВГРАД,ГЪРМЕН,С. ЛЕЩЕН,8,11
47408,БЛАГОЕВГРАД,ГЪРМЕН,С. МАРЧЕВО,182,176
53326,БЛАГОЕВГРАД,ГЪРМЕН,С. ОГНЯНОВО,1704,1631
53727,БЛАГОЕВГРАД,ГЪРМЕН,С. ОРЕШЕ,386,332
54184,БЛАГОЕВГРАД,ГЪРМЕН,С. ОСИКОВО,595,546
62640,БЛАГОЕВГРАД,ГЪРМЕН,С. РИБНОВО,2750,2335
66874,БЛАГОЕВГРАД,ГЪРМЕН,С. СКРЕБАТНО,310,293
77222,БЛАГОЕВГРАД,ГЪРМЕН,С. ХВОСТЯНЕ,1159,598
06834,БЛАГОЕВГРАД,КРЕСНА,С. БУДИЛЦИ,0,0
11569,БЛАГОЕВГРАД,КРЕСНА,С. ВЛАХИ,7,7
39699,БЛАГОЕВГРАД,КРЕСНА,ГР. КРЕСНА,4011,3875
16136,БЛАГОЕВГРАД,КРЕСНА,С. ГОРНА БРЕЗНИЦА,669,666
