ekatte,region,municipality,settlement,permanent_2007,current_2007
76090,БЛАГОЕВГРАД,БАНСКО,С. ФИЛИПОВО,658,613
02676,БЛАГОЕВГРАД,БАНСКО,ГР. БАНСКО,9177,8661
17381,БЛАГОЕВГРАД,БАНСКО,С. ГОСТУН,70,87
21498,БЛАГОЕВГРАД,БАНСКО,ГР. ДОБРИНИЩЕ,2941,2855
39614,БЛАГОЕВГРАД,БАНСКО,С. КРЕМЕН,282,257
47857,БЛАГОЕВГРАД,БАНСКО,С. МЕСТА,256,264
53059,БЛАГОЕВГРАД,БАНСКО,С. ОБИДИМ,124,143
54136,БЛАГОЕВГРАД,БАНСКО,С. ОСЕНОВО,99,86
59330,БЛАГОЕВГРАД,БЕЛИЦА,С. ПАЛАТИК,247,254
77596,БЛАГОЕВГРАД,БЕЛИЦА,С. ГОРНО КРАИЩЕ,1198,1133
80649,БЛАГОЕВГРАД,БЕЛИЦА,С. ЧЕРЕШОВО,306,282
02107,БЛАГОЕВГРАД,БЕЛИЦА,С. БАБЯК,830,782
03504,БЛАГОЕВГРАД,БЕЛИЦА,ГР. БЕЛИЦА,3591,3332
14521,БЛАГОЕВГРАД,БЕЛИЦА,С. ЗЛАТАРИЦА,125,135
15638,БЛАГОЕВГРАД,БЕЛИЦА,С. ГЪЛЪБОВО,90,91
20064,БЛАГОЕВГРАД,БЕЛИЦА,С. ДАГОНОВО,753,713
39270,БЛАГОЕВГРАД,БЕЛИЦА,С. КРАИЩЕ,2430,2323
40453,БЛАГОЕВГРАД,БЕЛИЦА,С. КУЗЬОВО,288,287
44762,БЛАГОЕВГРАД,БЕЛИЦА,С. ЛЮТОВО,239,240
53998,БЛАГОЕВГРАД,БЕЛИЦА,С. ОРЦЕВО,217,217
57159,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ПОКРОВНИК,957,819
62699,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. РИЛЦИ,920,775
66055,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. СЕЛИЩЕ,263,421
68792,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЛОГОДАЖ,294,249
78464,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЦЕРОВО,702,679
00134,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ИЗГРЕВ,507,497
03664,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. БЕЛО ПОЛЕ,1305,625
04217,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. БИСТРИЦА,56,83
04279,БЛАГОЕВГРАД,БЛАГОЕВГРАД,ГР. БЛАГОЕВГРАД,79001,76569
07168,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. БУЧИНО,86,75
