ekatte,region,municipality,settlement,permanent_1998,current_1998
02676,БЛАГОЕВГРАД,БАНСКО,ГР. БАНСКО,9593,9085
17381,БЛАГОЕВГРАД,БАНСКО,С. ГОСТУН,126,138
21498,БЛАГОЕВГРАД,БАНСКО,С. ДОБРИНИЩЕ,3007,2979
39614,БЛАГОЕВГРАД,БАНСКО,С. КРЕМЕН,416,392
47857,БЛАГОЕВГРАД,БАНСКО,С. МЕСТА,269,276
53059,БЛАГОЕВГРАД,БАНСКО,С. ОБИДИМ,247,204
54136,БЛАГОЕВГРАД,БАНСКО,С. ОСЕНОВО,177,134
76090,БЛАГОЕВГРАД,БАНСКО,С. ФИЛИПОВО,703,654
02107,БЛАГОЕВГРАД,БЕЛИЦА,С. БАБЯК,866,827
03504,БЛАГОЕВГРАД,БЕЛИЦА,ГР. БЕЛИЦА,3783,3559
14521,БЛАГОЕВГРАД,БЕЛИЦА,С. ЗЛАТАРИЦА,231,197
15638,БЛАГОЕВГРАД,БЕЛИЦА,С. ГЪЛЪБОВО,184,141
20064,БЛАГОЕВГРАД,БЕЛИЦА,С. ДАГОНОВО,772,739
27293,БЛАГОЕВГРАД,БЕЛИЦА,С. ЕЛЕШНИЦА,1498,1848
39270,БЛАГОЕВГРАД,БЕЛИЦА,С. КРАИЩЕ,2068,2164
40453,БЛАГОЕВГРАД,БЕЛИЦА,С. КУЗЬОВО,376,341
41068,БЛАГОЕВГРАД,БЕЛИЦА,С. ВЪРХАРИ,43,1
44762,БЛАГОЕВГРАД,БЕЛИЦА,С. ЛЮТОВО,258,244
53998,БЛАГОЕВГРАД,БЕЛИЦА,С. ОРЦЕВО,282,253
59330,БЛАГОЕВГРАД,БЕЛИЦА,С. ПАЛАТНИК,254,234
77596,БЛАГОЕВГРАД,БЕЛИЦА,С. ГОРНО КРАИЩЕ,1065,1051
80649,БЛАГОЕВГРАД,БЕЛИЦА,С. ЧЕРЕШОВО,315,285
00134,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ИЗГРЕВ,277,485
03664,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. БЕЛО ПОЛЕ,453,581
04217,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. БИСТРИЦА,78,140
04279,БЛАГОЕВГРАД,БЛАГОЕВГРАД,ГР. БЛАГОЕВГРАД,80406,78608
07168,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. БУЧИНО,89,120
07377,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. БЪЛГАРЧЕВО,210,292
14204,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ГАБРОВО,69,95
17004,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ГОРНО ХЪРСОВО,11,194
20328,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ДЕБОЧИЦА,45,74
20540,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ДЕЛВИНО,11,26
23652,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ДРЕНКОВО,91,126
24367,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ДЪБРАВА,44,120
27231,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЕЛЕНОВО,84,147
30702,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЗЕЛЕНДОЛ,162,299
37263,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. КЛИСУРА,27,28
43520,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЛЕШКО,259,332
43863,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЛИСИЯ,28,41
47370,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. МАРУЛЕВО,38,89
49179,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. МОЩАНЕЦ,37,78
53031,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ОБЕЛ,27,34
55107,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ПАДЕШ,632,807
57159,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ПОКРОВНИК,614,866
62699,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. РИЛЦИ,601,855
66055,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. СЕЛИЩЕ,186,326
68792,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЛОГОДАЖ,196,373
78464,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЦЕРОВО,621,622
02600,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. БАНИЧАН,664,676
05606,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. БОРОВО,1142,1196
06306,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. БРЕЗНИЦА,3753,3554
07003,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. БУКОВО,924,878
17347,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. ГОСПОДИНЦИ,451,433
17395,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,ГР. ГОЦЕ ДЕЛЧЕВ,23573,20475
20585,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. ДЕЛЧЕВО,150,115
21680,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. ДОБРОТИНО,122,79
23460,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. ДРАГОСТИН,83,9
38666,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. КОРНИЦА,2172,2032
44416,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. ЛЪЖНИЦА,1772,1688
49432,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. МУСОМИЩА,2327,2369
68391,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. СРЕДНА,93,245
02381,БЛАГОЕВГРАД,ГЪРМЕН,С. БАЛДЕВО,255,304
16763,БЛАГОЕВГРАД,ГЪРМЕН,С. ГОРНО ДРЯНОВО,1103,1074
18366,БЛАГОЕВГРАД,ГЪРМЕН,С. ГЪРМЕН,1744,1852
20331,БЛАГОЕВГРАД,ГЪРМЕН,С. ДЕБРЕН,2221,2168
22616,БЛАГОЕВГРАД,ГЪРМЕН,С. ДОЛНО ДРЯНОВО,1223,1207
24267,БЛАГОЕВГРАД,ГЪРМЕН,С. ДЪБНИЦА,1977,1755
37472,БЛАГОЕВГРАД,ГЪРМЕН,С. КОВАЧЕВИЦА,67,63
40138,БЛАГОЕВГРАД,ГЪРМЕН,С. КРУШЕВО,249,238
43606,БЛАГОЕВГРАД,ГЪРМЕН,С. ЛЕЩЕН,19,23
47408,БЛАГОЕВГРАД,ГЪРМЕН,С. МАРЧЕВО,188,189
53326,БЛАГОЕВГРАД,ГЪРМЕН,С. ОГНЯНОВО,1577,1658
53727,БЛАГОЕВГРАД,ГЪРМЕН,С. ОРЕШЕ,408,407
54184,БЛАГОЕВГРАД,ГЪРМЕН,С. ОСИКОВО,621,559
62640,БЛАГОЕВГРАД,ГЪРМЕН,С. РИБНОВО,2703,2523
66874,БЛАГОЕВГРАД,ГЪРМЕН,С. СКРЕБАТНО,372,341
77222,БЛАГОЕВГРАД,ГЪРМЕН,С. ХВОСТЯНЕ,943,612
06834,БЛАГОЕВГРАД,КРЕСНА,С. БУДИЛЦИ,1,0
11569,БЛАГОЕВГРАД,КРЕСНА,С. ВЛАХИ,34,26
39699,БЛАГОЕВГРАД,КРЕСНА,ГР. КРЕСНА,3953,4073
16136,БЛАГОЕВГРАД,КРЕСНА,С. ГОРНА БРЕЗНИЦА,642,760
22068,БЛАГОЕВГРАД,КРЕСНА,С. ДОЛНА ГРАДЕШНИЦА,795,779
27098,БЛАГОЕВГРАД,КРЕСНА,С. ЕЗЕРЕЦ,0,0
52163,БЛАГОЕВГРАД,КРЕСНА,С. НОВО СЕЛО,1,0
54537,БЛАГОЕВГРАД,КРЕСНА,С. ОЩАВА,130,141
67369,БЛАГОЕВГРАД,КРЕСНА,С. СЛИВНИЦА,676,687
02806,БЛАГОЕВГРАД,ПЕТРИЧ,С. БАСКАЛЦИ,147,138
03294,БЛАГОЕВГРАД,ПЕТРИЧ,С. БЕЛАСИЦА,1240,1194
05596,БЛАГОЕВГРАД,ПЕТРИЧ,С. БОРОВИЧЕНЕ,142,123
11358,БЛАГОЕВГРАД,ПЕТРИЧ,С. ВИШЛЕНЕ,82,108
12036,БЛАГОЕВГРАД,ПЕТРИЧ,С. ВОЛНО,66,49
14091,БЛАГОЕВГРАД,ПЕТРИЧ,С. ГАБРЕНЕ,942,829
14581,БЛАГОЕВГРАД,ПЕТРИЧ,С. ГЕГА,431,422
17302,БЛАГОЕВГРАД,ПЕТРИЧ,С. ГОРЧЕВО,13,12
18472,БЛАГОЕВГРАД,ПЕТРИЧ,С. ГЮРГЕВО,2,0
21885,БЛАГОЕВГРАД,ПЕТРИЧ,С. ДОЛЕНЕ,56,61
22143,БЛАГОЕВГРАД,ПЕТРИЧ,С. ДОЛНА КРУШИЦА,359,312
22246,БЛАГОЕВГРАД,ПЕТРИЧ,С. ДОЛНА РИБНИЦА,456,488
22842,БЛАГОЕВГРАД,ПЕТРИЧ,С. ДОЛНО СПАНЧЕВО,182,175
23488,БЛАГОЕВГРАД,ПЕТРИЧ,С. ДРАГУШ,62,60
23563,БЛАГОЕВГРАД,ПЕТРИЧ,С. ДРАНГОВО,506,531
23683,БЛАГОЕВГРАД,ПЕТРИЧ,С. ДРЕНОВИЦА,30,26
23697,БЛАГОЕВГРАД,ПЕТРИЧ,С. ДРЕНОВО,96,236
30315,БЛАГОЕВГРАД,ПЕТРИЧ,С. ЗАНОГА,5,0
31317,БЛАГОЕВГРАД,ПЕТРИЧ,С. ЗОЙЧЕНЕ,85,79
32086,БЛАГОЕВГРАД,ПЕТРИЧ,С. ИВАНОВО,15,15
35081,БЛАГОЕВГРАД,ПЕТРИЧ,С. КАВРАКИРОВО,1499,1539
35688,БЛАГОЕВГРАД,ПЕТРИЧ,С. КАМЕНА,406,408
36083,БЛАГОЕВГРАД,ПЕТРИЧ,С. КАПАТОВО,278,263
37143,БЛАГОЕВГРАД,ПЕТРИЧ,С. КЛАДЕНЦИ,62,67
37349,БЛАГОЕВГРАД,ПЕТРИЧ,С. КЛЮЧ,1219,1122
37989,БЛАГОЕВГРАД,ПЕТРИЧ,С. КОЛАРОВО,2410,2278
39935,БЛАГОЕВГРАД,ПЕТРИЧ,С. КРОМИДОВО,207,198
40302,БЛАГОЕВГРАД,ПЕТРИЧ,С. КРЪНДЖИЛИЦА,13,33
40508,БЛАГОЕВГРАД,ПЕТРИЧ,С. КУКУРАХЦЕВО,82,103
