ekatte,region,municipality,settlement,permanent_2009,current_2009
02676,БЛАГОЕВГРАД,БАНСКО,ГР. БАНСКО,9225,8528
21498,БЛАГОЕВГРАД,БАНСКО,ГР. ДОБРИНИЩЕ,2910,2798
17381,БЛАГОЕВГРАД,БАНСКО,С. ГОСТУН,62,75
39614,БЛАГОЕВГРАД,БАНСКО,С. КРЕМЕН,250,226
47857,БЛАГОЕВГРАД,БАНСКО,С. МЕСТА,257,258
53059,БЛАГОЕВГРАД,БАНСКО,С. ОБИДИМ,111,131
54136,БЛАГОЕВГРАД,БАНСКО,С. ОСЕНОВО,90,76
76090,БЛАГОЕВГРАД,БАНСКО,С. ФИЛИПОВО,671,623
03504,БЛАГОЕВГРАД,БЕЛИЦА,ГР. БЕЛИЦА,3589,3322
02107,БЛАГОЕВГРАД,БЕЛИЦА,С. БАБЯК,832,789
77596,БЛАГОЕВГРАД,БЕЛИЦА,С. ГОРНО КРАИЩЕ,1216,1158
15638,БЛАГОЕВГРАД,БЕЛИЦА,С. ГЪЛЪБОВО,83,85
20064,БЛАГОЕВГРАД,БЕЛИЦА,С. ДАГОНОВО,765,723
14521,БЛАГОЕВГРАД,БЕЛИЦА,С. ЗЛАТАРИЦА,116,139
39270,БЛАГОЕВГРАД,БЕЛИЦА,С. КРАИЩЕ,2491,2348
40453,БЛАГОЕВГРАД,БЕЛИЦА,С. КУЗЬОВО,278,275
44762,БЛАГОЕВГРАД,БЕЛИЦА,С. ЛЮТОВО,238,245
53998,БЛАГОЕВГРАД,БЕЛИЦА,С. ОРЦЕВО,217,223
59330,БЛАГОЕВГРАД,БЕЛИЦА,С. ПАЛАТИК,250,257
80649,БЛАГОЕВГРАД,БЕЛИЦА,С. ЧЕРЕШОВО,310,275
04279,БЛАГОЕВГРАД,БЛАГОЕВГРАД,ГР. БЛАГОЕВГРАД,80668,77295
03664,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. БЕЛО ПОЛЕ,2716,658
04217,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. БИСТРИЦА,52,81
07168,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. БУЧИНО,81,71
07377,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. БЪЛГАРЧЕВО,245,317
14204,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ГАБРОВО,31,33
17004,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ГОРНО ХЪРСОВО,89,159
20328,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ДЕБОЧИЦА,25,28
20540,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ДЕЛВИНО,25,54
23652,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ДРЕНКОВО,92,66
24367,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ДЪБРАВА,80,60
27231,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЕЛЕНОВО,172,169
30702,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЗЕЛЕН ДОЛ,259,227
00134,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ИЗГРЕВ,522,506
37263,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. КЛИСУРА,37,32
43520,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЛЕШКО,215,229
43863,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЛИСИЯ,12,15
68792,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЛОГОДАЖ,280,250
47370,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. МАРУЛЕВО,34,59
49179,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. МОЩАНЕЦ,31,59
53031,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ОБЕЛ,40,41
55107,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ПАДЕШ,662,657
57159,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ПОКРОВНИК,1478,864
62699,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. РИЛЦИ,1065,793
66055,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. СЕЛИЩЕ,287,418
78464,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЦЕРОВО,711,679
17395,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,ГР. ГОЦЕ ДЕЛЧЕВ,22234,20923
02600,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. БАНИЧАН,617,594
05606,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. БОРОВО,1220,1089
06306,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. БРЕЗНИЦА,3737,3422
07003,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. БУКОВО,1040,948
17347,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. ГОСПОДИНЦИ,481,478
20585,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. ДЕЛЧЕВО,62,57
21680,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. ДОБРОТИНО,40,48
38666,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. КОРНИЦА,2246,1650
44416,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. ЛЪЖНИЦА,1911,1531
49432,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. МУСОМИЩА,2295,2255
02381,БЛАГОЕВГРАД,ГЪРМЕН,С. БАЛДЕВО,210,201
16763,БЛАГОЕВГРАД,ГЪРМЕН,С. ГОРНО ДРЯНОВО,1079,1051
18366,БЛАГОЕВГРАД,ГЪРМЕН,С. ГЪРМЕН,1999,1827
20331,БЛАГОЕВГРАД,ГЪРМЕН,С. ДЕБРЕН,2474,2305
22616,БЛАГОЕВГРАД,ГЪРМЕН,С. ДОЛНО ДРЯНОВО,1290,1245
24267,БЛАГОЕВГРАД,ГЪРМЕН,С. ДЪБНИЦА,2239,1681
37472,БЛАГОЕВГРАД,ГЪРМЕН,С. КОВАЧЕВИЦА,52,37
40138,БЛАГОЕВГРАД,ГЪРМЕН,С. КРУШЕВО,283,245
43606,БЛАГОЕВГРАД,ГЪРМЕН,С. ЛЕЩЕН,6,10
47408,БЛАГОЕВГРАД,ГЪРМЕН,С. МАРЧЕВО,169,185
53326,БЛАГОЕВГРАД,ГЪРМЕН,С. ОГНЯНОВО,1687,1545
53727,БЛАГОЕВГРАД,ГЪРМЕН,С. ОРЕШЕ,359,287
54184,БЛАГОЕВГРАД,ГЪРМЕН,С. ОСИКОВО,580,508
62640,БЛАГОЕВГРАД,ГЪРМЕН,С. РИБНОВО,2893,2421
66874,БЛАГОЕВГРАД,ГЪРМЕН,С. СКРЕБАТНО,304,288
77222,БЛАГОЕВГРАД,ГЪРМЕН,С. ХВОСТЯНЕ,1236,591
39699,БЛАГОЕВГРАД,КРЕСНА,ГР. КРЕСНА,3845,3688
11569,БЛАГОЕВГРАД,КРЕСНА,С. ВЛАХИ,6,9
16136,БЛАГОЕВГРАД,КРЕСНА,С. ГОРНА БРЕЗНИЦА,623,597
22068,БЛАГОЕВГРАД,КРЕСНА,С. ДОЛНА ГРАДЕШНИЦА,696,653
54537,БЛАГОЕВГРАД,КРЕСНА,С. ОЩАВА,79,87
67369,БЛАГОЕВГРАД,КРЕСНА,С. СЛИВНИЦА,653,623
56126,БЛАГОЕВГРАД,ПЕТРИЧ,ГР. ПЕТРИЧ,37228,31999
02806,БЛАГОЕВГРАД,ПЕТРИЧ,С. БАСКАЛЦИ,95,89
03294,БЛАГОЕВГРАД,ПЕТРИЧ,С. БЕЛАСИЦА,1205,1100
66322,БЛАГОЕВГРАД,ПЕТРИЧ,С. БОГОРОДИЦА,22,30
05596,БЛАГОЕВГРАД,ПЕТРИЧ,С. БОРОВИЧЕНЕ,72,70
11358,БЛАГОЕВГРАД,ПЕТРИЧ,С. ВИШЛЕНЕ,60,62
12036,БЛАГОЕВГРАД,ПЕТРИЧ,С. ВОЛНО,25,23
14091,БЛАГОЕВГРАД,ПЕТРИЧ,С. ГАБРЕНЕ,808,731
14581,БЛАГОЕВГРАД,ПЕТРИЧ,С. ГЕГА,298,282
58390,БЛАГОЕВГРАД,ПЕТРИЧ,С. ГЕНЕРАЛ ТОДОРОВ,720,684
17302,БЛАГОЕВГРАД,ПЕТРИЧ,С. ГОРЧЕВО,5,6
21885,БЛАГОЕВГРАД,ПЕТРИЧ,С. ДОЛЕНЕ,31,38
22143,БЛАГОЕВГРАД,ПЕТРИЧ,С. ДОЛНА КРУШИЦА,220,199
22246,БЛАГОЕВГРАД,ПЕТРИЧ,С. ДОЛНА РИБНИЦА,402,379
22842,БЛАГОЕВГРАД,ПЕТРИЧ,С. ДОЛНО СПАНЧЕВО,123,112
23488,БЛАГОЕВГРАД,ПЕТРИЧ,С. ДРАГУШ,42,35
23563,БЛАГОЕВГРАД,ПЕТРИЧ,С. ДРАНГОВО,543,509
23683,БЛАГОЕВГРАД,ПЕТРИЧ,С. ДРЕНОВИЦА,19,18
23697,БЛАГОЕВГРАД,ПЕТРИЧ,С. ДРЕНОВО,124,137
31317,БЛАГОЕВГРАД,ПЕТРИЧ,С. ЗОЙЧЕНЕ,57,59
32086,БЛАГОЕВГРАД,ПЕТРИЧ,С. ИВАНОВО,7,10
35081,БЛАГОЕВГРАД,ПЕТРИЧ,С. КАВРАКИРОВО,1593,1577
35688,БЛАГОЕВГРАД,ПЕТРИЧ,С. КАМЕНА,347,318
36083,БЛАГОЕВГРАД,ПЕТРИЧ,С. КАПАТОВО,196,203
37143,БЛАГОЕВГРАД,ПЕТРИЧ,С. КЛАДЕНЦИ,42,46
37349,БЛАГОЕВГРАД,ПЕТРИЧ,С. КЛЮЧ,1060,941
37989,БЛАГОЕВГРАД,ПЕТРИЧ,С. КОЛАРОВО,2177,2093
39935,БЛАГОЕВГРАД,ПЕТРИЧ,С. КРОМИДОВО,137,151
40302,БЛАГОЕВГРАД,ПЕТРИЧ,С. КРЪНДЖИЛИЦА,11,9
40508,БЛАГОЕВГРАД,ПЕТРИЧ,С. КУКУРАХЦЕВО,65,67
40539,БЛАГОЕВГРАД,ПЕТРИЧ,С. КУЛАТА,867,880
40912,БЛАГОЕВГРАД,ПЕТРИЧ,С. КЪРНАЛОВО,1842,1788
47189,БЛАГОЕВГРАД,ПЕТРИЧ,С. МАРИКОСТИНОВО,1366,1375
47247,БЛАГОЕВГРАД,ПЕТРИЧ,С. МАРИНО ПОЛЕ,319,313
47799,БЛАГОЕВГРАД,ПЕТРИЧ,С. МЕНДОВО,110,110
48458,БЛАГОЕВГРАД,ПЕТРИЧ,С. МИТИНО,342,370
48578,БЛАГОЕВГРАД,ПЕТРИЧ,С. МИХНЕВО,1164,1120
52091,БЛАГОЕВГРАД,ПЕТРИЧ,С. НОВО КОНОМЛАДИ,171,159
58061,БЛАГОЕВГРАД,ПЕТРИЧ,С. ПРАВО БЪРДО,77,75
59077,БЛАГОЕВГРАД,ПЕТРИЧ,С. ПЪРВОМАЙ,3608,3511
62623,БЛАГОЕВГРАД,ПЕТРИЧ,С. РИБНИК,166,177
