ekatte,region,municipality,settlement,permanent_2017,current_2017
02676,БЛАГОЕВГРАД,БАНСКО,ГР. БАНСКО,9355,8538
21498,БЛАГОЕВГРАД,БАНСКО,ГР. ДОБРИНИЩЕ,2845,2639
17381,БЛАГОЕВГРАД,БАНСКО,С. ГОСТУН,32,51
39614,БЛАГОЕВГРАД,БАНСКО,С. КРЕМЕН,166,182
47857,БЛАГОЕВГРАД,БАНСКО,С. МЕСТА,241,233
53059,БЛАГОЕВГРАД,БАНСКО,С. ОБИДИМ,83,101
54136,БЛАГОЕВГРАД,БАНСКО,С. ОСЕНОВО,54,58
76090,БЛАГОЕВГРАД,БАНСКО,С. ФИЛИПОВО,655,621
03504,БЛАГОЕВГРАД,БЕЛИЦА,ГР. БЕЛИЦА,3396,3126
02107,БЛАГОЕВГРАД,БЕЛИЦА,С. БАБЯК,784,720
77596,БЛАГОЕВГРАД,БЕЛИЦА,С. ГОРНО КРАИЩЕ,1255,1185
15638,БЛАГОЕВГРАД,БЕЛИЦА,С. ГЪЛЪБОВО,42,51
20064,БЛАГОЕВГРАД,БЕЛИЦА,С. ДАГОНОВО,797,731
14521,БЛАГОЕВГРАД,БЕЛИЦА,С. ЗЛАТАРИЦА,78,104
39270,БЛАГОЕВГРАД,БЕЛИЦА,С. КРАИЩЕ,2631,2472
40453,БЛАГОЕВГРАД,БЕЛИЦА,С. КУЗЬОВО,275,266
44762,БЛАГОЕВГРАД,БЕЛИЦА,С. ЛЮТОВО,220,213
53998,БЛАГОЕВГРАД,БЕЛИЦА,С. ОРЦЕВО,176,176
59330,БЛАГОЕВГРАД,БЕЛИЦА,С. ПАЛАТИК,231,222
80649,БЛАГОЕВГРАД,БЕЛИЦА,С. ЧЕРЕШОВО,294,269
04279,БЛАГОЕВГРАД,БЛАГОЕВГРАД,ГР. БЛАГОЕВГРАД,82340,74839
03664,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. БЕЛО ПОЛЕ,11291,655
04217,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. БИСТРИЦА,213,64
07168,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. БУЧИНО,108,50
07377,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. БЪЛГАРЧЕВО,278,286
14204,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ГАБРОВО,63,14
17004,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ГОРНО ХЪРСОВО,46,93
20328,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ДЕБОЧИЦА,43,28
20540,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ДЕЛВИНО,289,78
23652,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ДРЕНКОВО,66,53
24367,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ДЪБРАВА,609,102
27231,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЕЛЕНОВО,490,184
30702,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЗЕЛЕНДОЛ,219,209
00134,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ИЗГРЕВ,722,566
37263,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. КЛИСУРА,21,15
43520,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЛЕШКО,1027,217
43863,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЛИСИЯ,9,8
68792,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЛОГОДАЖ,4291,324
47370,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. МАРУЛЕВО,530,90
49179,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. МОЩАНЕЦ,26,56
53031,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ОБЕЛ,40,31
55107,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ПАДЕШ,567,567
57159,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ПОКРОВНИК,3007,910
62699,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. РИЛЦИ,5216,817
66055,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. СЕЛИЩЕ,263,313
78464,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЦЕРОВО,734,708
17395,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,ГР. ГОЦЕ ДЕЛЧЕВ,22129,20066
02600,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. БАНИЧАН,599,564
05606,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. БОРОВО,1174,1019
06306,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. БРЕЗНИЦА,3824,3405
07003,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. БУКОВО,1112,956
17347,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. ГОСПОДИНЦИ,519,496
20585,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. ДЕЛЧЕВО,47,40
21680,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. ДОБРОТИНО,31,37
38666,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. КОРНИЦА,2331,1650
44416,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. ЛЪЖНИЦА,2036,1588
49432,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. МОСОМИЩЕ,2194,2138
02381,БЛАГОЕВГРАД,ГЪРМЕН,С. БАЛДЕВО,187,182
16763,БЛАГОЕВГРАД,ГЪРМЕН,С. ГОРНО ДРЯНОВО,1079,1017
18366,БЛАГОЕВГРАД,ГЪРМЕН,С. ГЪРМЕН,2143,1878
20331,БЛАГОЕВГРАД,ГЪРМЕН,С. ДЕБРЕН,2592,2326
22616,БЛАГОЕВГРАД,ГЪРМЕН,С. ДОЛНО ДРЯНОВО,1344,1270
24267,БЛАГОЕВГРАД,ГЪРМЕН,С. ДЪБНИЦА,2315,1835
37472,БЛАГОЕВГРАД,ГЪРМЕН,С. КОВАЧЕВИЦА,47,37
40138,БЛАГОЕВГРАД,ГЪРМЕН,С. КРУШЕВО,275,245
