ekatte,region,municipality,settlement,permanent_1999,current_1999
02676,БЛАГОЕВГРАД,БАНСКО,ГР. БАНСКО,9484,9013
17381,БЛАГОЕВГРАД,БАНСКО,С. ГОСТУН,121,134
21498,БЛАГОЕВГРАД,БАНСКО,С. ДОБРИНИЩЕ,3026,3000
39614,БЛАГОЕВГРАД,БАНСКО,С. КРЕМЕН,404,377
47857,БЛАГОЕВГРАД,БАНСКО,С. МЕСТА,260,271
53059,БЛАГОЕВГРАД,БАНСКО,С. ОБИДИМ,238,200
54136,БЛАГОЕВГРАД,БАНСКО,С. ОСЕНОВО,166,125
76090,БЛАГОЕВГРАД,БАНСКО,С. ФИЛИПОВО,682,638
02107,БЛАГОЕВГРАД,БЕЛИЦА,С. БАБЯК,858,811
03504,БЛАГОЕВГРАД,БЕЛИЦА,ГР. БЕЛИЦА,3729,3527
14521,БЛАГОЕВГРАД,БЕЛИЦА,С. ЗЛАТАРИЦА,228,192
15638,БЛАГОЕВГРАД,БЕЛИЦА,С. ГЪЛЪБОВО,185,134
20064,БЛАГОЕВГРАД,БЕЛИЦА,С. ДАГОНОВО,761,730
27293,БЛАГОЕВГРАД,БЕЛИЦА,С. ЕЛЕШНИЦА,1487,1785
39270,БЛАГОЕВГРАД,БЕЛИЦА,С. КРАИЩЕ,2094,2181
40453,БЛАГОЕВГРАД,БЕЛИЦА,С. КУЗЬОВО,376,338
41068,БЛАГОЕВГРАД,БЕЛИЦА,С. ВЪРХАРИ,37,0
44762,БЛАГОЕВГРАД,БЕЛИЦА,С. ЛЮТОВО,258,249
53998,БЛАГОЕВГРАД,БЕЛИЦА,С. ОРЦЕВО,272,239
59330,БЛАГОЕВГРАД,БЕЛИЦА,С. ПАЛАТНИК,258,240
77596,БЛАГОЕВГРАД,БЕЛИЦА,С. ГОРНО КРАИЩЕ,1061,1049
80649,БЛАГОЕВГРАД,БЕЛИЦА,С. ЧЕРЕШОВО,306,282
00134,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ИЗГРЕВ,263,545
03664,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. БЕЛО ПОЛЕ,453,597
04217,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. БИСТРИЦА,55,130
04279,БЛАГОЕВГРАД,БЛАГОЕВГРАД,ГР. БЛАГОЕВГРАД,80386,77879
07168,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. БУЧИНО,82,122
07377,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. БЪЛГАРЧЕВО,202,294
14204,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ГАБРОВО,56,92
17004,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ГОРНО ХЪРСОВО,8,284
20328,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ДЕБОЧИЦА,36,65
20540,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ДЕЛВИНО,11,142
23652,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ДРЕНКОВО,84,122
24367,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ДЪБРАВА,39,110
27231,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЕЛЕНОВО,81,150
30702,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЗЕЛЕНДОЛ,152,267
37263,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. КЛИСУРА,17,25
43520,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЛЕШКО,244,309
43863,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЛИСИЯ,27,36
47370,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. МАРУЛЕВО,32,114
49179,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. МОЩАНЕЦ,37,79
53031,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ОБЕЛ,20,36
55107,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ПАДЕШ,614,839
57159,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ПОКРОВНИК,616,859
62699,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. РИЛЦИ,590,850
66055,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. СЕЛИЩЕ,176,530
68792,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЛОГОДАЖ,176,362
78464,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЦЕРОВО,616,626
02600,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. БАНИЧАН,656,666
05606,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. БОРОВО,1153,1193
06306,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. БРЕЗНИЦА,3786,3558
07003,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. БУКОВО,943,926
17347,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. ГОСПОДИНЦИ,456,441
17395,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,ГР. ГОЦЕ ДЕЛЧЕВ,23394,20610
20585,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. ДЕЛЧЕВО,140,114
21680,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. ДОБРОТИНО,105,70
23460,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. ДРАГОСТИН,79,7
38666,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. КОРНИЦА,2174,1715
44416,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. ЛЪЖНИЦА,1803,1430
49432,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. МУСОМИЩА,2309,2352
68391,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. СРЕДНА,82,240
