ekatte,region,municipality,settlement,permanent_2008,current_2008
17381,БЛАГОЕВГРАД,БАНСКО,С. ГОСТУН,67,83
21498,БЛАГОЕВГРАД,БАНСКО,ГР. ДОБРИНИЩЕ,2917,2822
39614,БЛАГОЕВГРАД,БАНСКО,С. КРЕМЕН,268,244
47857,БЛАГОЕВГРАД,БАНСКО,С. МЕСТА,257,261
53059,БЛАГОЕВГРАД,БАНСКО,С. ОБИДИМ,118,137
54136,БЛАГОЕВГРАД,БАНСКО,С. ОСЕНОВО,94,80
76090,БЛАГОЕВГРАД,БАНСКО,С. ФИЛИПОВО,664,619
02676,БЛАГОЕВГРАД,БАНСКО,ГР. БАНСКО,9183,8518
14521,БЛАГОЕВГРАД,БЕЛИЦА,С. ЗЛАТАРИЦА,121,135
15638,БЛАГОЕВГРАД,БЕЛИЦА,С. ГЪЛЪБОВО,89,89
20064,БЛАГОЕВГРАД,БЕЛИЦА,С. ДАГОНОВО,754,718
39270,БЛАГОЕВГРАД,БЕЛИЦА,С. КРАИЩЕ,2459,2336
40453,БЛАГОЕВГРАД,БЕЛИЦА,С. КУЗЬОВО,284,280
44762,БЛАГОЕВГРАД,БЕЛИЦА,С. ЛЮТОВО,239,240
53998,БЛАГОЕВГРАД,БЕЛИЦА,С. ОРЦЕВО,218,216
59330,БЛАГОЕВГРАД,БЕЛИЦА,С. ПАЛАТИК,253,257
77596,БЛАГОЕВГРАД,БЕЛИЦА,С. ГОРНО КРАИЩЕ,1214,1151
80649,БЛАГОЕВГРАД,БЕЛИЦА,С. ЧЕРЕШОВО,305,276
02107,БЛАГОЕВГРАД,БЕЛИЦА,С. БАБЯК,826,781
03504,БЛАГОЕВГРАД,БЕЛИЦА,ГР. БЕЛИЦА,3583,3325
14204,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ГАБРОВО,35,39
17004,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ГОРНО ХЪРСОВО,92,155
20328,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ДЕБОЧИЦА,23,30
20540,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ДЕЛВИНО,25,49
23652,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ДРЕНКОВО,98,72
24367,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ДЪБРАВА,88,64
27231,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЕЛЕНОВО,165,162
30702,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЗЕЛЕН ДОЛ,270,221
37263,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. КЛИСУРА,41,35
43520,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЛЕШКО,204,202
43863,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЛИСИЯ,16,16
47370,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. МАРУЛЕВО,36,52
