ekatte,region,municipality,settlement,permanent_2005,current_2005
02676,БЛАГОЕВГРАД,БАНСКО,ГР. БАНСКО,9181,8547
17381,БЛАГОЕВГРАД,БАНСКО,С. ГОСТУН,84,97
21498,БЛАГОЕВГРАД,БАНСКО,С. ДОБРИНИЩЕ,2964,2849
39614,БЛАГОЕВГРАД,БАНСКО,С. КРЕМЕН,301,279
47857,БЛАГОЕВГРАД,БАНСКО,С. МЕСТА,258,264
53059,БЛАГОЕВГРАД,БАНСКО,С. ОБИДИМ,137,150
54136,БЛАГОЕВГРАД,БАНСКО,С. ОСЕНОВО,112,94
76090,БЛАГОЕВГРАД,БАНСКО,С. ФИЛИПОВО,656,617
02107,БЛАГОЕВГРАД,БЕЛИЦА,С. БАБЯК,839,798
03504,БЛАГОЕВГРАД,БЕЛИЦА,ГР. БЕЛИЦА,3618,3344
14521,БЛАГОЕВГРАД,БЕЛИЦА,С. ЗЛАТАРИЦА,147,152
15638,БЛАГОЕВГРАД,БЕЛИЦА,С. ГЪЛЪБОВО,104,106
20064,БЛАГОЕВГРАД,БЕЛИЦА,С. ДАГОНОВО,731,710
39270,БЛАГОЕВГРАД,БЕЛИЦА,С. КРАИЩЕ,2375,2280
40453,БЛАГОЕВГРАД,БЕЛИЦА,С. КУЗЬОВО,285,286
44762,БЛАГОЕВГРАД,БЕЛИЦА,С. ЛЮТОВО,243,237
53998,БЛАГОЕВГРАД,БЕЛИЦА,С. ОРЦЕВО,221,220
59330,БЛАГОЕВГРАД,БЕЛИЦА,С. ПАЛАТИК,246,253
77596,БЛАГОЕВГРАД,БЕЛИЦА,С. ГОРНО КРАИЩЕ,1174,1121
80649,БЛАГОЕВГРАД,БЕЛИЦА,С. ЧЕРЕШОВО,301,281
00134,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ИЗГРЕВ,495,502
03664,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. БЕЛО ПОЛЕ,702,602
04217,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. БИСТРИЦА,63,93
04279,БЛАГОЕВГРАД,БЛАГОЕВГРАД,ГР. БЛАГОЕВГРАД,77623,76725
07168,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. БУЧИНО,89,85
07377,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. БЪЛГАРЧЕВО,246,264
14204,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ГАБРОВО,49,50
17004,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ГОРНО ХЪРСОВО,95,164
20328,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ДЕБОЧИЦА,18,37
20540,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ДЕЛВИНО,27,60
23652,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ДРЕНКОВО,84,87
24367,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ДЪБРАВА,93,70
27231,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЕЛЕНОВО,144,143
30702,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЗЕЛЕНДОЛ,213,215
37263,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. КЛИСУРА,20,22
43520,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЛЕШКО,229,235
43863,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЛИСИЯ,18,18
47370,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. МАРУЛЕВО,43,56
49179,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. МОЩАНЕЦ,32,44
53031,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ОБЕЛ,26,29
55107,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ПАДЕШ,707,713
57159,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ПОКРОВНИК,828,812
62699,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. РИЛЦИ,820,792
66055,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. СЕЛИЩЕ,266,362
68792,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЛОГОДАЖ,226,253
78464,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЦЕРОВО,690,672
02600,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. БАНИЧАН,634,627
05606,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. БОРОВО,1216,1124
06306,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. БРЕЗНИЦА,3718,3455
07003,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. БУКОВО,996,916
17347,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. ГОСПОДИНЦИ,459,462
17395,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,ГР. ГОЦЕ ДЕЛЧЕВ,22471,21173
20585,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. ДЕЛЧЕВО,78,70
21680,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. ДОБРОТИНО,46,52
23460,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. ДРАГОСТИН,2,1
38666,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. КОРНИЦА,2203,1717
44416,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. ЛЪЖНИЦА,1849,1460
49432,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. МУСОМИЩА,2320,2314
68391,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. СРЕДНА,7,33
02381,БЛАГОЕВГРАД,ГЪРМЕН,С. БАЛДЕВО,227,226
16763,БЛАГОЕВГРАД,ГЪРМЕН,С. ГОРНО ДРЯНОВО,1088,1071
18366,БЛАГОЕВГРАД,ГЪРМЕН,С. ГЪРМЕН,1950,1852
20331,БЛАГОЕВГРАД,ГЪРМЕН,С. ДЕБРЕН,2366,2252
22616,БЛАГОЕВГРАД,ГЪРМЕН,С. ДОЛНО ДРЯНОВО,1255,1238
24267,БЛАГОЕВГРАД,ГЪРМЕН,С. ДЪБНИЦА,2128,1678
37472,БЛАГОЕВГРАД,ГЪРМЕН,С. КОВАЧЕВИЦА,54,43
40138,БЛАГОЕВГРАД,ГЪРМЕН,С. КРУШЕВО,281,251
43606,БЛАГОЕВГРАД,ГЪРМЕН,С. ЛЕЩЕН,8,11
47408,БЛАГОЕВГРАД,ГЪРМЕН,С. МАРЧЕВО,175,170
53326,БЛАГОЕВГРАД,ГЪРМЕН,С. ОГНЯНОВО,1687,1604
53727,БЛАГОЕВГРАД,ГЪРМЕН,С. ОРЕШЕ,372,316
54184,БЛАГОЕВГРАД,ГЪРМЕН,С. ОСИКОВО,590,533
62640,БЛАГОЕВГРАД,ГЪРМЕН,С. РИБНОВО,2759,2322
66874,БЛАГОЕВГРАД,ГЪРМЕН,С. СКРЕБАТНО,307,296
77222,БЛАГОЕВГРАД,ГЪРМЕН,С. ХВОСТЯНЕ,1178,598
06834,БЛАГОЕВГРАД,КРЕСНА,С. БУДИЛЦИ,0,0
11569,БЛАГОЕВГРАД,КРЕСНА,С. ВЛАХИ,8,8
39699,БЛАГОЕВГРАД,КРЕСНА,ГР. КРЕСНА,3964,3827
16136,БЛАГОЕВГРАД,КРЕСНА,С. ГОРНА БРЕЗНИЦА,668,650
22068,БЛАГОЕВГРАД,КРЕСНА,С. ДОЛНА ГРАДЕШНИЦА,732,678
27098,БЛАГОЕВГРАД,КРЕСНА,С. ЕЗЕРЕЦ,0,0
52163,БЛАГОЕВГРАД,КРЕСНА,С. НОВО СЕЛО,0,0
54537,БЛАГОЕВГРАД,КРЕСНА,С. ОЩАВА,72,79
67369,БЛАГОЕВГРАД,КРЕСНА,С. СЛИВНИЦА,659,640
02806,БЛАГОЕВГРАД,ПЕТРИЧ,С. БАСКАЛЦИ,105,103
03294,БЛАГОЕВГРАД,ПЕТРИЧ,С. БЕЛАСИЦА,1218,1138
05596,БЛАГОЕВГРАД,ПЕТРИЧ,С. БОРОВИЧЕНЕ,86,86
11358,БЛАГОЕВГРАД,ПЕТРИЧ,С. ВИШЛЕНЕ,69,72
12036,БЛАГОЕВГРАД,ПЕТРИЧ,С. ВОЛНО,31,29
14091,БЛАГОЕВГРАД,ПЕТРИЧ,С. ГАБРЕНЕ,822,788
14581,БЛАГОЕВГРАД,ПЕТРИЧ,С. ГЕГА,343,316
17302,БЛАГОЕВГРАД,ПЕТРИЧ,С. ГОРЧЕВО,7,8
18472,БЛАГОЕВГРАД,ПЕТРИЧ,С. ГЮРГЕВО,0,0
21885,БЛАГОЕВГРАД,ПЕТРИЧ,С. ДОЛЕНЕ,35,53
22143,БЛАГОЕВГРАД,ПЕТРИЧ,С. ДОЛНА КРУШИЦА,238,214
22246,БЛАГОЕВГРАД,ПЕТРИЧ,С. ДОЛНА РИБНИЦА,414,385
22842,БЛАГОЕВГРАД,ПЕТРИЧ,С. ДОЛНО СПАНЧЕВО,146,138
23488,БЛАГОЕВГРАД,ПЕТРИЧ,С. ДРАГУШ,48,43
23563,БЛАГОЕВГРАД,ПЕТРИЧ,С. ДРАНГОВО,533,529
23683,БЛАГОЕВГРАД,ПЕТРИЧ,С. ДРЕНОВИЦА,20,19
23697,БЛАГОЕВГРАД,ПЕТРИЧ,С. ДРЕНОВО,138,158
30315,БЛАГОЕВГРАД,ПЕТРИЧ,С. ЗАНОГА,0,0
31317,БЛАГОЕВГРАД,ПЕТРИЧ,С. ЗОЙЧЕНЕ,61,65
32086,БЛАГОЕВГРАД,ПЕТРИЧ,С. ИВАНОВО,8,9
35081,БЛАГОЕВГРАД,ПЕТРИЧ,С. КАВРАКИРОВО,1542,1544
35688,БЛАГОЕВГРАД,ПЕТРИЧ,С. КАМЕНА,364,357
36083,БЛАГОЕВГРАД,ПЕТРИЧ,С. КАПАТОВО,201,212
37143,БЛАГОЕВГРАД,ПЕТРИЧ,С. КЛАДЕНЦИ,48,50
37349,БЛАГОЕВГРАД,ПЕТРИЧ,С. КЛЮЧ,1107,1006
37989,БЛАГОЕВГРАД,ПЕТРИЧ,С. КОЛАРОВО,2231,2149
39935,БЛАГОЕВГРАД,ПЕТРИЧ,С. КРОМИДОВО,150,165
40302,БЛАГОЕВГРАД,ПЕТРИЧ,С. КРЪНДЖИЛИЦА,14,13
40508,БЛАГОЕВГРАД,ПЕТРИЧ,С. КУКУРАХЦЕВО,69,75
40539,БЛАГОЕВГРАД,ПЕТРИЧ,С. КУЛАТА,882,902
40912,БЛАГОЕВГРАД,ПЕТРИЧ,С. КЪРНАЛОВО,1882,1838
47189,БЛАГОЕВГРАД,ПЕТРИЧ,С. МАРИКОСТИНОВО,1398,1398
47247,БЛАГОЕВГРАД,ПЕТРИЧ,С. МАРИНО ПОЛЕ,333,335
47799,БЛАГОЕВГРАД,ПЕТРИЧ,С. МЕНДОВО,122,121
48458,БЛАГОЕВГРАД,ПЕТРИЧ,С. МИТИНО,329,357
48578,БЛАГОЕВГРАД,ПЕТРИЧ,С. МИХНЕВО,1217,1171
49312,БЛАГОЕВГРАД,ПЕТРИЧ,С. РУПИТЕ,1133,1127
52091,БЛАГОЕВГРАД,ПЕТРИЧ,С. НОВО КОНОМЛАДИ,181,171
56126,БЛАГОЕВГРАД,ПЕТРИЧ,ГР. ПЕТРИЧ,35484,31809
58061,БЛАГОЕВГРАД,ПЕТРИЧ,С. ПРАВО БЪРДО,96,95
58390,БЛАГОЕВГРАД,ПЕТРИЧ,С. ГЕНЕРАЛ ТОДОРОВ,738,695
59077,БЛАГОЕВГРАД,ПЕТРИЧ,С. ПЪРВОМАЙ,3503,3451
62623,БЛАГОЕВГРАД,ПЕТРИЧ,С. РИБНИК,191,190
63542,БЛАГОЕВГРАД,ПЕТРИЧ,С. РЪЖДАК,260,260
65288,БЛАГОЕВГРАД,ПЕТРИЧ,С. САМУИЛОВА КРЕПОСТ,1,0
65293,БЛАГОЕВГРАД,ПЕТРИЧ,С. САМУИЛОВО,917,894
66322,БЛАГОЕВГРАД,ПЕТРИЧ,С. БОГОРОДИЦА,31,40
66901,БЛАГОЕВГРАД,ПЕТРИЧ,С. СКРЪТ,1180,1137
69119,БЛАГОЕВГРАД,ПЕТРИЧ,С. СТАРЧЕВО,679,662
69941,БЛАГОЕВГРАД,ПЕТРИЧ,С. СТРУМЕШНИЦА,395,379
72672,БЛАГОЕВГРАД,ПЕТРИЧ,С. ТОНСКО ДАБЕ,1,0
72744,БЛАГОЕВГРАД,ПЕТРИЧ,С. ТОПОЛНИЦА,799,774
81788,БЛАГОЕВГРАД,ПЕТРИЧ,С. ЧУРИЛОВО,70,66
81791,БЛАГОЕВГРАД,ПЕТРИЧ,С. ЧУРИЧЕНИ,234,219
81832,БЛАГОЕВГРАД,ПЕТРИЧ,С. ЧУЧУЛИГОВО,230,219
87134,БЛАГОЕВГРАД,ПЕТРИЧ,С. ЯВОРНИЦА,997,916
87312,БЛАГОЕВГРАД,ПЕТРИЧ,С. ЯКОВО,80,97
02693,БЛАГОЕВГРАД,РАЗЛОГ,С. БАНЯ,2990,2937
02960,БЛАГОЕВГРАД,РАЗЛОГ,С. БАЧЕВО,1767,1711
15326,БЛАГОЕВГРАД,РАЗЛОГ,С. ГОДЛЕВО,589,581
16754,БЛАГОЕВГРАД,РАЗЛОГ,С. ГОРНО ДРАГЛИЩЕ,1057,1020
21748,БЛАГОЕВГРАД,РАЗЛОГ,С. ДОБЪРСКО,663,667
22602,БЛАГОЕВГРАД,РАЗЛОГ,С. ДОЛНО ДРАГЛИЩЕ,691,707
27293,БЛАГОЕВГРАД,РАЗЛОГ,С. ЕЛЕШНИЦА,1622,1568
61813,БЛАГОЕВГРАД,РАЗЛОГ,ГР. РАЗЛОГ,13515,13041
03335,БЛАГОЕВГРАД,САНДАНСКИ,С. БЕЛЕВЕХЧЕВО,1,0
03784,БЛАГОЕВГРАД,САНДАНСКИ,С. БЕЛЬОВО,10,8
04933,БЛАГОЕВГРАД,САНДАНСКИ,С. БОЖДОВО,3,3
11168,БЛАГОЕВГРАД,САНДАНСКИ,С. ВИНОГРАДИ,103,102
11315,БЛАГОЕВГРАД,САНДАНСКИ,С. ВИХРЕН,1,3
12200,БЛАГОЕВГРАД,САНДАНСКИ,С. ВРАНЯ,168,164
12471,БЛАГОЕВГРАД,САНДАНСКИ,С. ВЪЛКОВО,379,393
15549,БЛАГОЕВГРАД,САНДАНСКИ,С. ГОЛЕМ ЦАЛИМ,6,17
15583,БЛАГОЕВГРАД,САНДАНСКИ,С. ГОЛЕШОВО,88,83
16403,БЛАГОЕВГРАД,САНДАНСКИ,С. ГОРНА СУШИЦА,50,44
16969,БЛАГОЕВГРАД,САНДАНСКИ,С. ГОРНО СПАНЧЕВО,109,115
20105,БЛАГОЕВГРАД,САНДАНСКИ,С. ДАМЯНИЦА,1339,1357
20345,БЛАГОЕВГРАД,САНДАНСКИ,С. ДЕБРЕНЕ,39,58
