ekatte,region,municipality,settlement,permanent_2006,current_2006
39614,БЛАГОЕВГРАД,БАНСКО,С. КРЕМЕН,294,268
47857,БЛАГОЕВГРАД,БАНСКО,С. МЕСТА,255,261
53059,БЛАГОЕВГРАД,БАНСКО,С. ОБИДИМ,130,148
54136,БЛАГОЕВГРАД,БАНСКО,С. ОСЕНОВО,107,91
76090,БЛАГОЕВГРАД,БАНСКО,С. ФИЛИПОВО,660,619
02676,БЛАГОЕВГРАД,БАНСКО,ГР. БАНСКО,9166,8567
17381,БЛАГОЕВГРАД,БАНСКО,С. ГОСТУН,72,90
21498,БЛАГОЕВГРАД,БАНСКО,ГР. ДОБРИНИЩЕ,2949,2864
39270,БЛАГОЕВГРАД,БЕЛИЦА,С. КРАИЩЕ,2404,2303
40453,БЛАГОЕВГРАД,БЕЛИЦА,С. КУЗЬОВО,292,291
44762,БЛАГОЕВГРАД,БЕЛИЦА,С. ЛЮТОВО,240,238
53998,БЛАГОЕВГРАД,БЕЛИЦА,С. ОРЦЕВО,221,220
59330,БЛАГОЕВГРАД,БЕЛИЦА,С. ПАЛАТИК,247,257
77596,БЛАГОЕВГРАД,БЕЛИЦА,С. ГОРНО КРАИЩЕ,1186,1124
80649,БЛАГОЕВГРАД,БЕЛИЦА,С. ЧЕРЕШОВО,306,284
02107,БЛАГОЕВГРАД,БЕЛИЦА,С. БАБЯК,831,789
03504,БЛАГОЕВГРАД,БЕЛИЦА,ГР. БЕЛИЦА,3622,3340
14521,БЛАГОЕВГРАД,БЕЛИЦА,С. ЗЛАТАРИЦА,141,149
15638,БЛАГОЕВГРАД,БЕЛИЦА,С. ГЪЛЪБОВО,99,100
20064,БЛАГОЕВГРАД,БЕЛИЦА,С. ДАГОНОВО,742,719
23652,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ДРЕНКОВО,87,84
24367,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ДЪБРАВА,93,69
27231,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЕЛЕНОВО,162,157
30702,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЗЕЛЕН ДОЛ,217,212
37263,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. КЛИСУРА,20,22
43520,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЛЕШКО,218,219
43863,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЛИСИЯ,16,17
