ekatte,region,municipality,settlement,permanent_2003,current_2003
02676,БЛАГОЕВГРАД,БАНСКО,ГР. БАНСКО,9268,8666
17381,БЛАГОЕВГРАД,БАНСКО,С. ГОСТУН,92,101
21498,БЛАГОЕВГРАД,БАНСКО,С. ДОБРИНИЩЕ,3020,2900
39614,БЛАГОЕВГРАД,БАНСКО,С. КРЕМЕН,328,296
47857,БЛАГОЕВГРАД,БАНСКО,С. МЕСТА,281,286
53059,БЛАГОЕВГРАД,БАНСКО,С. ОБИДИМ,148,162
54136,БЛАГОЕВГРАД,БАНСКО,С. ОСЕНОВО,123,101
76090,БЛАГОЕВГРАД,БАНСКО,С. ФИЛИПОВО,665,630
02107,БЛАГОЕВГРАД,БЕЛИЦА,С. БАБЯК,855,813
03504,БЛАГОЕВГРАД,БЕЛИЦА,ГР. БЕЛИЦА,3658,3411
14521,БЛАГОЕВГРАД,БЕЛИЦА,С. ЗЛАТАРИЦА,159,157
15638,БЛАГОЕВГРАД,БЕЛИЦА,С. ГЪЛЪБОВО,121,120
20064,БЛАГОЕВГРАД,БЕЛИЦА,С. ДАГОНОВО,726,711
39270,БЛАГОЕВГРАД,БЕЛИЦА,С. КРАИЩЕ,2325,2236
40453,БЛАГОЕВГРАД,БЕЛИЦА,С. КУЗЬОВО,292,296
44762,БЛАГОЕВГРАД,БЕЛИЦА,С. ЛЮТОВО,249,235
53998,БЛАГОЕВГРАД,БЕЛИЦА,С. ОРЦЕВО,231,228
59330,БЛАГОЕВГРАД,БЕЛИЦА,С. ПАЛАТИК,243,240
77596,БЛАГОЕВГРАД,БЕЛИЦА,С. ГОРНО КРАИЩЕ,1142,1101
80649,БЛАГОЕВГРАД,БЕЛИЦА,С. ЧЕРЕШОВО,292,279
00134,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ИЗГРЕВ,480,527
03664,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. БЕЛО ПОЛЕ,586,607
04217,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. БИСТРИЦА,61,99
04279,БЛАГОЕВГРАД,БЛАГОЕВГРАД,ГР. БЛАГОЕВГРАД,77005,76937
07168,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. БУЧИНО,88,84
07377,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. БЪЛГАРЧЕВО,253,278
14204,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ГАБРОВО,55,56
17004,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ГОРНО ХЪРСОВО,91,188
20328,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ДЕБОЧИЦА,22,42
20540,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ДЕЛВИНО,27,69
23652,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ДРЕНКОВО,89,95
24367,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ДЪБРАВА,98,83
27231,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЕЛЕНОВО,132,137
30702,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЗЕЛЕНДОЛ,268,228
37263,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. КЛИСУРА,18,20
43520,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЛЕШКО,239,242
43863,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЛИСИЯ,21,22
47370,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. МАРУЛЕВО,42,66
49179,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. МОЩАНЕЦ,37,51
53031,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ОБЕЛ,15,20
55107,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ПАДЕШ,708,719
57159,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ПОКРОВНИК,812,802
62699,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. РИЛЦИ,808,805
66055,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. СЕЛИЩЕ,271,375
68792,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЛОГОДАЖ,253,279
78464,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЦЕРОВО,683,662
02600,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. БАНИЧАН,656,650
05606,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. БОРОВО,1216,1140
06306,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. БРЕЗНИЦА,3728,3468
07003,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. БУКОВО,966,896
17347,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. ГОСПОДИНЦИ,439,447
17395,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,ГР. ГОЦЕ ДЕЛЧЕВ,22559,21158
20585,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. ДЕЛЧЕВО,82,75
21680,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. ДОБРОТИНО,51,58
23460,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. ДРАГОСТИН,2,1
38666,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. КОРНИЦА,2184,1726
44416,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. ЛЪЖНИЦА,1816,1444
49432,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. МУСОМИЩА,2347,2341
68391,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. СРЕДНА,10,40
02381,БЛАГОЕВГРАД,ГЪРМЕН,С. БАЛДЕВО,238,248
16763,БЛАГОЕВГРАД,ГЪРМЕН,С. ГОРНО ДРЯНОВО,1106,1081
18366,БЛАГОЕВГРАД,ГЪРМЕН,С. ГЪРМЕН,1892,1843
20331,БЛАГОЕВГРАД,ГЪРМЕН,С. ДЕБРЕН,2336,2247
22616,БЛАГОЕВГРАД,ГЪРМЕН,С. ДОЛНО ДРЯНОВО,1240,1218
24267,БЛАГОЕВГРАД,ГЪРМЕН,С. ДЪБНИЦА,2093,1696
37472,БЛАГОЕВГРАД,ГЪРМЕН,С. КОВАЧЕВИЦА,59,49
40138,БЛАГОЕВГРАД,ГЪРМЕН,С. КРУШЕВО,276,244
43606,БЛАГОЕВГРАД,ГЪРМЕН,С. ЛЕЩЕН,11,14
47408,БЛАГОЕВГРАД,ГЪРМЕН,С. МАРЧЕВО,184,181
53326,БЛАГОЕВГРАД,ГЪРМЕН,С. ОГНЯНОВО,1695,1635
53727,БЛАГОЕВГРАД,ГЪРМЕН,С. ОРЕШЕ,399,348
54184,БЛАГОЕВГРАД,ГЪРМЕН,С. ОСИКОВО,602,569
62640,БЛАГОЕВГРАД,ГЪРМЕН,С. РИБНОВО,2720,2316
66874,БЛАГОЕВГРАД,ГЪРМЕН,С. СКРЕБАТНО,315,296
77222,БЛАГОЕВГРАД,ГЪРМЕН,С. ХВОСТЯНЕ,1151,607
06834,БЛАГОЕВГРАД,КРЕСНА,С. БУДИЛЦИ,0,0
11569,БЛАГОЕВГРАД,КРЕСНА,С. ВЛАХИ,10,9
39699,БЛАГОЕВГРАД,КРЕСНА,ГР. КРЕСНА,3997,3872
16136,БЛАГОЕВГРАД,КРЕСНА,С. ГОРНА БРЕЗНИЦА,678,678
22068,БЛАГОЕВГРАД,КРЕСНА,С. ДОЛНА ГРАДЕШНИЦА,749,707
27098,БЛАГОЕВГРАД,КРЕСНА,С. ЕЗЕРЕЦ,0,0
52163,БЛАГОЕВГРАД,КРЕСНА,С. НОВО СЕЛО,0,0
54537,БЛАГОЕВГРАД,КРЕСНА,С. ОЩАВА,81,85
67369,БЛАГОЕВГРАД,КРЕСНА,С. СЛИВНИЦА,661,648
02806,БЛАГОЕВГРАД,ПЕТРИЧ,С. БАСКАЛЦИ,109,110
03294,БЛАГОЕВГРАД,ПЕТРИЧ,С. БЕЛАСИЦА,1210,1150
05596,БЛАГОЕВГРАД,ПЕТРИЧ,С. БОРОВИЧЕНЕ,95,92
11358,БЛАГОЕВГРАД,ПЕТРИЧ,С. ВИШЛЕНЕ,73,77
12036,БЛАГОЕВГРАД,ПЕТРИЧ,С. ВОЛНО,35,31
14091,БЛАГОЕВГРАД,ПЕТРИЧ,С. ГАБРЕНЕ,835,812
14581,БЛАГОЕВГРАД,ПЕТРИЧ,С. ГЕГА,356,330
17302,БЛАГОЕВГРАД,ПЕТРИЧ,С. ГОРЧЕВО,7,8
18472,БЛАГОЕВГРАД,ПЕТРИЧ,С. ГЮРГЕВО,0,0
21885,БЛАГОЕВГРАД,ПЕТРИЧ,С. ДОЛЕНЕ,37,36
22143,БЛАГОЕВГРАД,ПЕТРИЧ,С. ДОЛНА КРУШИЦА,253,227
22246,БЛАГОЕВГРАД,ПЕТРИЧ,С. ДОЛНА РИБНИЦА,434,409
22842,БЛАГОЕВГРАД,ПЕТРИЧ,С. ДОЛНО СПАНЧЕВО,164,152
23488,БЛАГОЕВГРАД,ПЕТРИЧ,С. ДРАГУШ,52,46
23563,БЛАГОЕВГРАД,ПЕТРИЧ,С. ДРАНГОВО,531,527
23683,БЛАГОЕВГРАД,ПЕТРИЧ,С. ДРЕНОВИЦА,22,23
23697,БЛАГОЕВГРАД,ПЕТРИЧ,С. ДРЕНОВО,140,168
30315,БЛАГОЕВГРАД,ПЕТРИЧ,С. ЗАНОГА,0,0
31317,БЛАГОЕВГРАД,ПЕТРИЧ,С. ЗОЙЧЕНЕ,62,65
32086,БЛАГОЕВГРАД,ПЕТРИЧ,С. ИВАНОВО,11,9
35081,БЛАГОЕВГРАД,ПЕТРИЧ,С. КАВРАКИРОВО,1512,1518
35688,БЛАГОЕВГРАД,ПЕТРИЧ,С. КАМЕНА,382,369
36083,БЛАГОЕВГРАД,ПЕТРИЧ,С. КАПАТОВО,218,223
37143,БЛАГОЕВГРАД,ПЕТРИЧ,С. КЛАДЕНЦИ,49,52
37349,БЛАГОЕВГРАД,ПЕТРИЧ,С. КЛЮЧ,1133,1036
37989,БЛАГОЕВГРАД,ПЕТРИЧ,С. КОЛАРОВО,2267,2181
39935,БЛАГОЕВГРАД,ПЕТРИЧ,С. КРОМИДОВО,158,167
40302,БЛАГОЕВГРАД,ПЕТРИЧ,С. КРЪНДЖИЛИЦА,13,12
40508,БЛАГОЕВГРАД,ПЕТРИЧ,С. КУКУРАХЦЕВО,67,74
40539,БЛАГОЕВГРАД,ПЕТРИЧ,С. КУЛАТА,898,920
40912,БЛАГОЕВГРАД,ПЕТРИЧ,С. КЪРНАЛОВО,1916,1869
47189,БЛАГОЕВГРАД,ПЕТРИЧ,С. МАРИКОСТИНОВО,1402,1388
47247,БЛАГОЕВГРАД,ПЕТРИЧ,С. МАРИНО ПОЛЕ,339,338
47799,БЛАГОЕВГРАД,ПЕТРИЧ,С. МЕНДОВО,122,123
48458,БЛАГОЕВГРАД,ПЕТРИЧ,С. МИТИНО,328,351
48578,БЛАГОЕВГРАД,ПЕТРИЧ,С. МИХНЕВО,1224,1195
49312,БЛАГОЕВГРАД,ПЕТРИЧ,С. РУПИТЕ,1133,1142
52091,БЛАГОЕВГРАД,ПЕТРИЧ,С. НОВО КОНОМЛАДИ,188,174
56126,БЛАГОЕВГРАД,ПЕТРИЧ,ГР. ПЕТРИЧ,33563,31802
58061,БЛАГОЕВГРАД,ПЕТРИЧ,С. ПРАВО БЪРДО,104,102
58390,БЛАГОЕВГРАД,ПЕТРИЧ,С. ГЕНЕРАЛ ТОДОРОВ,751,714
59077,БЛАГОЕВГРАД,ПЕТРИЧ,С. ПЪРВОМАЙ,3452,3399
62623,БЛАГОЕВГРАД,ПЕТРИЧ,С. РИБНИК,195,195
63542,БЛАГОЕВГРАД,ПЕТРИЧ,С. РЪЖДАК,262,270
