ekatte,region,municipality,settlement,permanent_2010,current_2010
02676,БЛАГОЕВГРАД,БАНСКО,ГР. БАНСКО,9217,8453
21498,БЛАГОЕВГРАД,БАНСКО,ГР. ДОБРИНИЩЕ,2888,2748
17381,БЛАГОЕВГРАД,БАНСКО,С. ГОСТУН,58,69
39614,БЛАГОЕВГРАД,БАНСКО,С. КРЕМЕН,233,209
47857,БЛАГОЕВГРАД,БАНСКО,С. МЕСТА,249,245
53059,БЛАГОЕВГРАД,БАНСКО,С. ОБИДИМ,103,123
54136,БЛАГОЕВГРАД,БАНСКО,С. ОСЕНОВО,88,74
76090,БЛАГОЕВГРАД,БАНСКО,С. ФИЛИПОВО,673,623
03504,БЛАГОЕВГРАД,БЕЛИЦА,ГР. БЕЛИЦА,3558,3274
02107,БЛАГОЕВГРАД,БЕЛИЦА,С. БАБЯК,826,778
77596,БЛАГОЕВГРАД,БЕЛИЦА,С. ГОРНО КРАИЩЕ,1226,1167
15638,БЛАГОЕВГРАД,БЕЛИЦА,С. ГЪЛЪБОВО,79,80
20064,БЛАГОЕВГРАД,БЕЛИЦА,С. ДАГОНОВО,764,718
14521,БЛАГОЕВГРАД,БЕЛИЦА,С. ЗЛАТАРИЦА,109,131
39270,БЛАГОЕВГРАД,БЕЛИЦА,С. КРАИЩЕ,2524,2376
40453,БЛАГОЕВГРАД,БЕЛИЦА,С. КУЗЬОВО,269,266
44762,БЛАГОЕВГРАД,БЕЛИЦА,С. ЛЮТОВО,236,241
53998,БЛАГОЕВГРАД,БЕЛИЦА,С. ОРЦЕВО,210,213
59330,БЛАГОЕВГРАД,БЕЛИЦА,С. ПАЛАТИК,245,252
80649,БЛАГОЕВГРАД,БЕЛИЦА,С. ЧЕРЕШОВО,310,270
04279,БЛАГОЕВГРАД,БЛАГОЕВГРАД,ГР. БЛАГОЕВГРАД,81236,76571
03664,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. БЕЛО ПОЛЕ,3830,679
04217,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. БИСТРИЦА,47,73
07168,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. БУЧИНО,77,67
07377,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. БЪЛГАРЧЕВО,254,345
14204,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ГАБРОВО,28,32
17004,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ГОРНО ХЪРСОВО,84,149
20328,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ДЕБОЧИЦА,25,26
