ekatte,region,municipality,settlement,permanent_2015,current_2015
02676,БЛАГОЕВГРАД,БАНСКО,ГР. БАНСКО,9248,8210
21498,БЛАГОЕВГРАД,БАНСКО,ГР. ДОБРИНИЩЕ,2838,2652
17381,БЛАГОЕВГРАД,БАНСКО,С. ГОСТУН,39,57
39614,БЛАГОЕВГРАД,БАНСКО,С. КРЕМЕН,184,215
47857,БЛАГОЕВГРАД,БАНСКО,С. МЕСТА,247,242
53059,БЛАГОЕВГРАД,БАНСКО,С. ОБИДИМ,89,103
54136,БЛАГОЕВГРАД,БАНСКО,С. ОСЕНОВО,62,64
76090,БЛАГОЕВГРАД,БАНСКО,С. ФИЛИПОВО,668,630
03504,БЛАГОЕВГРАД,БЕЛИЦА,ГР. БЕЛИЦА,3467,3144
02107,БЛАГОЕВГРАД,БЕЛИЦА,С. БАБЯК,792,747
77596,БЛАГОЕВГРАД,БЕЛИЦА,С. ГОРНО КРАИЩЕ,1249,1186
15638,БЛАГОЕВГРАД,БЕЛИЦА,С. ГЪЛЪБОВО,48,59
20064,БЛАГОЕВГРАД,БЕЛИЦА,С. ДАГОНОВО,792,739
14521,БЛАГОЕВГРАД,БЕЛИЦА,С. ЗЛАТАРИЦА,86,117
39270,БЛАГОЕВГРАД,БЕЛИЦА,С. КРАИЩЕ,2619,2439
40453,БЛАГОЕВГРАД,БЕЛИЦА,С. КУЗЬОВО,276,272
44762,БЛАГОЕВГРАД,БЕЛИЦА,С. ЛЮТОВО,227,230
53998,БЛАГОЕВГРАД,БЕЛИЦА,С. ОРЦЕВО,188,186
59330,БЛАГОЕВГРАД,БЕЛИЦА,С. ПАЛАТИК,231,245
80649,БЛАГОЕВГРАД,БЕЛИЦА,С. ЧЕРЕШОВО,292,250
04279,БЛАГОЕВГРАД,БЛАГОЕВГРАД,ГР. БЛАГОЕВГРАД,81935,74754
03664,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. БЕЛО ПОЛЕ,9365,657
04217,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. БИСТРИЦА,203,75
07168,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. БУЧИНО,59,54
07377,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. БЪЛГАРЧЕВО,277,284
14204,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ГАБРОВО,65,20
17004,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ГОРНО ХЪРСОВО,64,117
20328,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ДЕБОЧИЦА,40,28
20540,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ДЕЛВИНО,64,88
23652,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ДРЕНКОВО,73,56
24367,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ДЪБРАВА,578,109
27231,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЕЛЕНОВО,412,182
30702,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЗЕЛЕНДОЛ,214,219
00134,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ИЗГРЕВ,705,557
37263,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. КЛИСУРА,23,17
43520,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЛЕШКО,964,233
43863,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЛИСИЯ,11,8
68792,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЛОГОДАЖ,2632,320
47370,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. МАРУЛЕВО,237,100
49179,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. МОЩАНЕЦ,21,56
53031,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ОБЕЛ,40,32
55107,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ПАДЕШ,592,578
57159,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ПОКРОВНИК,2324,920
