ekatte,region,municipality,settlement,permanent_2013,current_2013
02676,БЛАГОЕВГРАД,БАНСКО,ГР. БАНСКО,9224,8205
21498,БЛАГОЕВГРАД,БАНСКО,ГР. ДОБРИНИЩЕ,2872,2682
17381,БЛАГОЕВГРАД,БАНСКО,С. ГОСТУН,44,61
39614,БЛАГОЕВГРАД,БАНСКО,С. КРЕМЕН,197,196
47857,БЛАГОЕВГРАД,БАНСКО,С. МЕСТА,245,243
53059,БЛАГОЕВГРАД,БАНСКО,С. ОБИДИМ,95,111
54136,БЛАГОЕВГРАД,БАНСКО,С. ОСЕНОВО,73,65
76090,БЛАГОЕВГРАД,БАНСКО,С. ФИЛИПОВО,676,627
03504,БЛАГОЕВГРАД,БЕЛИЦА,ГР. БЕЛИЦА,3488,3194
02107,БЛАГОЕВГРАД,БЕЛИЦА,С. БАБЯК,813,767
77596,БЛАГОЕВГРАД,БЕЛИЦА,С. ГОРНО КРАИЩЕ,1234,1171
15638,БЛАГОЕВГРАД,БЕЛИЦА,С. ГЪЛЪБОВО,53,65
20064,БЛАГОЕВГРАД,БЕЛИЦА,С. ДАГОНОВО,783,730
14521,БЛАГОЕВГРАД,БЕЛИЦА,С. ЗЛАТАРИЦА,94,123
39270,БЛАГОЕВГРАД,БЕЛИЦА,С. КРАИЩЕ,2603,2437
40453,БЛАГОЕВГРАД,БЕЛИЦА,С. КУЗЬОВО,275,271
44762,БЛАГОЕВГРАД,БЕЛИЦА,С. ЛЮТОВО,231,237
53998,БЛАГОЕВГРАД,БЕЛИЦА,С. ОРЦЕВО,195,192
59330,БЛАГОЕВГРАД,БЕЛИЦА,С. ПАЛАТИК,234,240
80649,БЛАГОЕВГРАД,БЕЛИЦА,С. ЧЕРЕШОВО,302,259
04279,БЛАГОЕВГРАД,БЛАГОЕВГРАД,ГР. БЛАГОЕВГРАД,81534,75364
03664,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. БЕЛО ПОЛЕ,7865,656
04217,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. БИСТРИЦА,36,62
07168,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. БУЧИНО,63,59
07377,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. БЪЛГАРЧЕВО,257,302
14204,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ГАБРОВО,17,22
17004,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ГОРНО ХЪРСОВО,77,132
20328,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ДЕБОЧИЦА,16,27
20540,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ДЕЛВИНО,33,55
23652,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ДРЕНКОВО,82,59
24367,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ДЪБРАВА,67,63
27231,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЕЛЕНОВО,397,181
30702,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЗЕЛЕНДОЛ,214,213
00134,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ИЗГРЕВ,687,532
37263,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. КЛИСУРА,26,19
43520,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЛЕШКО,893,240
43863,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЛИСИЯ,11,9
68792,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЛОГОДАЖ,2242,316
47370,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. МАРУЛЕВО,36,49
49179,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. МОЩАНЕЦ,27,51
53031,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ОБЕЛ,41,34
55107,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ПАДЕШ,618,612
57159,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ПОКРОВНИК,1962,895
62699,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. РИЛЦИ,3803,768
66055,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. СЕЛИЩЕ,276,359
78464,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЦЕРОВО,729,701
17395,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,ГР. ГОЦЕ ДЕЛЧЕВ,22174,20360
02600,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. БАНИЧАН,616,568
05606,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. БОРОВО,1196,1013
06306,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. БРЕЗНИЦА,3775,3418
07003,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. БУКОВО,1080,946
17347,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. ГОСПОДИНЦИ,495,495
20585,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. ДЕЛЧЕВО,50,40
21680,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. ДОБРОТИНО,34,42
38666,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. КОРНИЦА,2300,1590
44416,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. ЛЪЖНИЦА,1980,1535
49432,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. МУСОМИЩА,2233,2234
02381,БЛАГОЕВГРАД,ГЪРМЕН,С. БАЛДЕВО,193,182
16763,БЛАГОЕВГРАД,ГЪРМЕН,С. ГОРНО ДРЯНОВО,1074,1033
18366,БЛАГОЕВГРАД,ГЪРМЕН,С. ГЪРМЕН,2066,1822
20331,БЛАГОЕВГРАД,ГЪРМЕН,С. ДЕБРЕН,2537,2308
22616,БЛАГОЕВГРАД,ГЪРМЕН,С. ДОЛНО ДРЯНОВО,1338,1267
24267,БЛАГОЕВГРАД,ГЪРМЕН,С. ДЪБНИЦА,2245,1636
37472,БЛАГОЕВГРАД,ГЪРМЕН,С. КОВАЧЕВИЦА,48,35
40138,БЛАГОЕВГРАД,ГЪРМЕН,С. КРУШЕВО,275,240
43606,БЛАГОЕВГРАД,ГЪРМЕН,С. ЛЕЩЕН,5,9
47408,БЛАГОЕВГРАД,ГЪРМЕН,С. МАРЧЕВО,152,163
53326,БЛАГОЕВГРАД,ГЪРМЕН,С. ОГНЯНОВО,1699,1494
53727,БЛАГОЕВГРАД,ГЪРМЕН,С. ОРЕШЕ,276,234
54184,БЛАГОЕВГРАД,ГЪРМЕН,С. ОСИКОВО,575,499
62640,БЛАГОЕВГРАД,ГЪРМЕН,С. РИБНОВО,2977,2475
66874,БЛАГОЕВГРАД,ГЪРМЕН,С. СКРЕБАТНО,292,266
77222,БЛАГОЕВГРАД,ГЪРМЕН,С. ХВОСТЯНЕ,1304,584
39699,БЛАГОЕВГРАД,КРЕСНА,ГР. КРЕСНА,3739,3676
11569,БЛАГОЕВГРАД,КРЕСНА,С. ВЛАХИ,8,5
16136,БЛАГОЕВГРАД,КРЕСНА,С. ГОРНА БРЕЗНИЦА,557,607
22068,БЛАГОЕВГРАД,КРЕСНА,С. ДОЛНА ГРАДЕШНИЦА,652,691
54537,БЛАГОЕВГРАД,КРЕСНА,С. ОЩАВА,71,83
67369,БЛАГОЕВГРАД,КРЕСНА,С. СЛИВНИЦА,617,631
56126,БЛАГОЕВГРАД,ПЕТРИЧ,ГР. ПЕТРИЧ,38948,31195
02806,БЛАГОЕВГРАД,ПЕТРИЧ,С. БАСКАЛЦИ,75,72
03294,БЛАГОЕВГРАД,ПЕТРИЧ,С. БЕЛАСИЦА,1192,1082
66322,БЛАГОЕВГРАД,ПЕТРИЧ,С. БОГОРОДИЦА,33,23
05596,БЛАГОЕВГРАД,ПЕТРИЧ,С. БОРОВИЧЕНЕ,58,58
11358,БЛАГОЕВГРАД,ПЕТРИЧ,С. ВИШЛЕНЕ,53,54
12036,БЛАГОЕВГРАД,ПЕТРИЧ,С. ВОЛНО,46,19
14091,БЛАГОЕВГРАД,ПЕТРИЧ,С. ГАБРЕНЕ,929,706
14581,БЛАГОЕВГРАД,ПЕТРИЧ,С. ГЕГА,262,249
58390,БЛАГОЕВГРАД,ПЕТРИЧ,С. ГЕНЕРАЛ ТОДОРОВ,702,647
17302,БЛАГОЕВГРАД,ПЕТРИЧ,С. ГОРЧЕВО,4,5
21885,БЛАГОЕВГРАД,ПЕТРИЧ,С. ДОЛЕНЕ,19,24
22143,БЛАГОЕВГРАД,ПЕТРИЧ,С. ДОЛНА КРУШИЦА,196,181
22246,БЛАГОЕВГРАД,ПЕТРИЧ,С. ДОЛНА РИБНИЦА,377,355
22842,БЛАГОЕВГРАД,ПЕТРИЧ,С. ДОЛНО СПАНЧЕВО,111,101
23488,БЛАГОЕВГРАД,ПЕТРИЧ,С. ДРАГУШ,37,34
23563,БЛАГОЕВГРАД,ПЕТРИЧ,С. ДРАНГОВО,551,490
23683,БЛАГОЕВГРАД,ПЕТРИЧ,С. ДРЕНОВИЦА,15,13
23697,БЛАГОЕВГРАД,ПЕТРИЧ,С. ДРЕНОВО,103,108
31317,БЛАГОЕВГРАД,ПЕТРИЧ,С. ЗОЙЧЕНЕ,52,53
32086,БЛАГОЕВГРАД,ПЕТРИЧ,С. ИВАНОВО,6,9
35081,БЛАГОЕВГРАД,ПЕТРИЧ,С. КАВРАКИРОВО,1642,1584
35688,БЛАГОЕВГРАД,ПЕТРИЧ,С. КАМЕНА,350,287
36083,БЛАГОЕВГРАД,ПЕТРИЧ,С. КАПАТОВО,176,174
37143,БЛАГОЕВГРАД,ПЕТРИЧ,С. КЛАДЕНЦИ,40,40
37349,БЛАГОЕВГРАД,ПЕТРИЧ,С. КЛЮЧ,1016,866
37989,БЛАГОЕВГРАД,ПЕТРИЧ,С. КОЛАРОВО,2123,2003
39935,БЛАГОЕВГРАД,ПЕТРИЧ,С. КРОМИДОВО,124,137
40302,БЛАГОЕВГРАД,ПЕТРИЧ,С. КРЪНДЖИЛИЦА,7,5
40508,БЛАГОЕВГРАД,ПЕТРИЧ,С. КУКУРАХЦЕВО,56,53
40539,БЛАГОЕВГРАД,ПЕТРИЧ,С. КУЛАТА,833,838
40912,БЛАГОЕВГРАД,ПЕТРИЧ,С. КЪРНАЛОВО,1808,1721
47189,БЛАГОЕВГРАД,ПЕТРИЧ,С. МАРИКОСТИНОВО,1311,1289
47247,БЛАГОЕВГРАД,ПЕТРИЧ,С. МАРИНО ПОЛЕ,301,292
47799,БЛАГОЕВГРАД,ПЕТРИЧ,С. МЕНДОВО,106,102
48458,БЛАГОЕВГРАД,ПЕТРИЧ,С. МИТИНО,381,365
48578,БЛАГОЕВГРАД,ПЕТРИЧ,С. МИХНЕВО,1126,1060
52091,БЛАГОЕВГРАД,ПЕТРИЧ,С. НОВО КОНОМЛАДИ,152,140
58061,БЛАГОЕВГРАД,ПЕТРИЧ,С. ПРАВО БЪРДО,66,62
59077,БЛАГОЕВГРАД,ПЕТРИЧ,С. ПЪРВОМАЙ,3630,3425
62623,БЛАГОЕВГРАД,ПЕТРИЧ,С. РИБНИК,148,154
49312,БЛАГОЕВГРАД,ПЕТРИЧ,С. РУПИТЕ,1104,1073
63542,БЛАГОЕВГРАД,ПЕТРИЧ,С. РЪЖДАК,266,255
65288,БЛАГОЕВГРАД,ПЕТРИЧ,С. САМУИЛОВА КРЕПОСТ,0,1
65293,БЛАГОЕВГРАД,ПЕТРИЧ,С. САМУИЛОВО,934,915
