ekatte,region,municipality,settlement,permanent_2014,current_2014
02676,БЛАГОЕВГРАД,БАНСКО,ГР. БАНСКО,9241,8191
21498,БЛАГОЕВГРАД,БАНСКО,ГР. ДОБРИНИЩЕ,2856,2668
17381,БЛАГОЕВГРАД,БАНСКО,С. ГОСТУН,41,59
39614,БЛАГОЕВГРАД,БАНСКО,С. КРЕМЕН,187,200
47857,БЛАГОЕВГРАД,БАНСКО,С. МЕСТА,247,239
53059,БЛАГОЕВГРАД,БАНСКО,С. ОБИДИМ,92,105
54136,БЛАГОЕВГРАД,БАНСКО,С. ОСЕНОВО,68,61
76090,БЛАГОЕВГРАД,БАНСКО,С. ФИЛИПОВО,672,625
03504,БЛАГОЕВГРАД,БЕЛИЦА,ГР. БЕЛИЦА,3480,3167
02107,БЛАГОЕВГРАД,БЕЛИЦА,С. БАБЯК,798,753
77596,БЛАГОЕВГРАД,БЕЛИЦА,С. ГОРНО КРАИЩЕ,1246,1179
15638,БЛАГОЕВГРАД,БЕЛИЦА,С. ГЪЛЪБОВО,48,60
20064,БЛАГОЕВГРАД,БЕЛИЦА,С. ДАГОНОВО,786,736
14521,БЛАГОЕВГРАД,БЕЛИЦА,С. ЗЛАТАРИЦА,87,118
39270,БЛАГОЕВГРАД,БЕЛИЦА,С. КРАИЩЕ,2609,2444
40453,БЛАГОЕВГРАД,БЕЛИЦА,С. КУЗЬОВО,272,272
44762,БЛАГОЕВГРАД,БЕЛИЦА,С. ЛЮТОВО,231,234
53998,БЛАГОЕВГРАД,БЕЛИЦА,С. ОРЦЕВО,194,191
59330,БЛАГОЕВГРАД,БЕЛИЦА,С. ПАЛАТИК,230,237
80649,БЛАГОЕВГРАД,БЕЛИЦА,С. ЧЕРЕШОВО,303,258
04279,БЛАГОЕВГРАД,БЛАГОЕВГРАД,ГР. БЛАГОЕВГРАД,81762,75220
03664,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. БЕЛО ПОЛЕ,8326,651
04217,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. БИСТРИЦА,35,60
07168,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. БУЧИНО,62,55
07377,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. БЪЛГАРЧЕВО,261,295
14204,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ГАБРОВО,34,20
17004,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ГОРНО ХЪРСОВО,74,128
20328,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ДЕБОЧИЦА,15,26
20540,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ДЕЛВИНО,50,54
23652,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ДРЕНКОВО,75,58
24367,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ДЪБРАВА,455,100
