ekatte,region,municipality,settlement,permanent_06_2020,current_06_2020
02676,БЛАГОЕВГРАД,БАНСКО,ГР. БАНСКО,9497,8873
21498,БЛАГОЕВГРАД,БАНСКО,ГР. ДОБРИНИЩЕ,2818,2604
17381,БЛАГОЕВГРАД,БАНСКО,С. ГОСТУН,28,44
39614,БЛАГОЕВГРАД,БАНСКО,С. КРЕМЕН,151,160
47857,БЛАГОЕВГРАД,БАНСКО,С. МЕСТА,221,219
53059,БЛАГОЕВГРАД,БАНСКО,С. ОБИДИМ,74,90
54136,БЛАГОЕВГРАД,БАНСКО,С. ОСЕНОВО,45,53
76090,БЛАГОЕВГРАД,БАНСКО,С. ФИЛИПОВО,657,619
03504,БЛАГОЕВГРАД,БЕЛИЦА,ГР. БЕЛИЦА,3337,3057
02107,БЛАГОЕВГРАД,БЕЛИЦА,С. БАБЯК,769,724
77596,БЛАГОЕВГРАД,БЕЛИЦА,С. ГОРНО КРАИЩЕ,1254,1186
15638,БЛАГОЕВГРАД,БЕЛИЦА,С. ГЪЛЪБОВО,34,38
20064,БЛАГОЕВГРАД,БЕЛИЦА,С. ДАГОНОВО,788,732
14521,БЛАГОЕВГРАД,БЕЛИЦА,С. ЗЛАТАРИЦА,77,85
39270,БЛАГОЕВГРАД,БЕЛИЦА,С. КРАИЩЕ,2668,2492
40453,БЛАГОЕВГРАД,БЕЛИЦА,С. КУЗЬОВО,261,246
44762,БЛАГОЕВГРАД,БЕЛИЦА,С. ЛЮТОВО,219,217
53998,БЛАГОЕВГРАД,БЕЛИЦА,С. ОРЦЕВО,162,153
59330,БЛАГОЕВГРАД,БЕЛИЦА,С. ПАЛАТИК,217,205
80649,БЛАГОЕВГРАД,БЕЛИЦА,С. ЧЕРЕШОВО,287,251
04279,БЛАГОЕВГРАД,БЛАГОЕВГРАД,ГР. БЛАГОЕВГРАД,82606,74059
03664,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. БЕЛО ПОЛЕ,8739,639
04217,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. БИСТРИЦА,610,66
07168,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. БУЧИНО,134,50
07377,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. БЪЛГАРЧЕВО,608,409
14204,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ГАБРОВО,803,44
17004,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ГОРНО ХЪРСОВО,593,128
20328,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ДЕБОЧИЦА,56,30
20540,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ДЕЛВИНО,601,96
23652,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ДРЕНКОВО,56,75
24367,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ДЪБРАВА,630,151
27231,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЕЛЕНОВО,532,199
30702,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЗЕЛЕНДОЛ,222,194
00134,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ИЗГРЕВ,730,587
37263,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. КЛИСУРА,19,29
43520,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЛЕШКО,1350,214
43863,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЛИСИЯ,8,7
68792,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЛОГОДАЖ,4745,311
47370,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. МАРУЛЕВО,558,82
49179,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. МОЩАНЕЦ,26,47
53031,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ОБЕЛ,37,54
55107,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ПАДЕШ,533,546
57159,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ПОКРОВНИК,3481,910
62699,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. РИЛЦИ,5489,839
66055,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. СЕЛИЩЕ,258,301
78464,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЦЕРОВО,730,698
17395,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,ГР. ГОЦЕ ДЕЛЧЕВ,21969,20120
02600,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. БАНИЧАН,595,552
05606,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. БОРОВО,1162,1021
06306,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. БРЕЗНИЦА,3876,3448
07003,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. БУКОВО,1113,966
17347,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. ГОСПОДИНЦИ,520,503
20585,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. ДЕЛЧЕВО,39,28
21680,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. ДОБРОТИНО,27,33
38666,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. КОРНИЦА,2358,1637
44416,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. ЛЪЖНИЦА,2066,1645
49432,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. МОСОМИЩЕ,2163,2094
02381,БЛАГОЕВГРАД,ГЪРМЕН,С. БАЛДЕВО,179,172
16763,БЛАГОЕВГРАД,ГЪРМЕН,С. ГОРНО ДРЯНОВО,1069,1004
18366,БЛАГОЕВГРАД,ГЪРМЕН,С. ГЪРМЕН,2153,1859
20331,БЛАГОЕВГРАД,ГЪРМЕН,С. ДЕБРЕН,2586,2361
22616,БЛАГОЕВГРАД,ГЪРМЕН,С. ДОЛНО ДРЯНОВО,1342,1247
24267,БЛАГОЕВГРАД,ГЪРМЕН,С. ДЪБНИЦА,2331,1904
37472,БЛАГОЕВГРАД,ГЪРМЕН,С. КОВАЧЕВИЦА,49,64
40138,БЛАГОЕВГРАД,ГЪРМЕН,С. КРУШЕВО,268,240
43606,БЛАГОЕВГРАД,ГЪРМЕН,С. ЛЕЩЕН,4,9
47408,БЛАГОЕВГРАД,ГЪРМЕН,С. МАРЧЕВО,137,174
53326,БЛАГОЕВГРАД,ГЪРМЕН,С. ОГНЯНОВО,1705,1519
53727,БЛАГОЕВГРАД,ГЪРМЕН,С. ОРЕШЕ,213,200
54184,БЛАГОЕВГРАД,ГЪРМЕН,С. ОСИКОВО,575,516
62640,БЛАГОЕВГРАД,ГЪРМЕН,С. РИБНОВО,3085,2707
66874,БЛАГОЕВГРАД,ГЪРМЕН,С. СКРЕБАТНО,270,242
77222,БЛАГОЕВГРАД,ГЪРМЕН,С. ХВОСТЯНЕ,1396,760
39699,БЛАГОЕВГРАД,КРЕСНА,ГР. КРЕСНА,3534,3637
11569,БЛАГОЕВГРАД,КРЕСНА,С. ВЛАХИ,6,13
16136,БЛАГОЕВГРАД,КРЕСНА,С. ГОРНА БРЕЗНИЦА,459,613
22068,БЛАГОЕВГРАД,КРЕСНА,С. ДОЛНА ГРАДЕШНИЦА,599,650
54537,БЛАГОЕВГРАД,КРЕСНА,С. ОЩАВА,53,92
67369,БЛАГОЕВГРАД,КРЕСНА,С. СЛИВНИЦА,569,621
56126,БЛАГОЕВГРАД,ПЕТРИЧ,ГР. ПЕТРИЧ,40728,30058
02806,БЛАГОЕВГРАД,ПЕТРИЧ,С. БАСКАЛЦИ,59,51
03294,БЛАГОЕВГРАД,ПЕТРИЧ,С. БЕЛАСИЦА,1167,1014
66322,БЛАГОЕВГРАД,ПЕТРИЧ,С. БОГОРОДИЦА,37,11
05596,БЛАГОЕВГРАД,ПЕТРИЧ,С. БОРОВИЧЕНЕ,43,47
11358,БЛАГОЕВГРАД,ПЕТРИЧ,С. ВИШЛЕНЕ,46,45
12036,БЛАГОЕВГРАД,ПЕТРИЧ,С. ВОЛНО,46,9
14091,БЛАГОЕВГРАД,ПЕТРИЧ,С. ГАБРЕНЕ,965,730
14581,БЛАГОЕВГРАД,ПЕТРИЧ,С. ГЕГА,225,228
58390,БЛАГОЕВГРАД,ПЕТРИЧ,С. ГЕНЕРАЛ ТОДОРОВ,667,605
17302,БЛАГОЕВГРАД,ПЕТРИЧ,С. ГОРЧЕВО,2,3
21885,БЛАГОЕВГРАД,ПЕТРИЧ,С. ДОЛЕНЕ,14,14
22143,БЛАГОЕВГРАД,ПЕТРИЧ,С. ДОЛНА КРУШИЦА,161,162
22246,БЛАГОЕВГРАД,ПЕТРИЧ,С. ДОЛНА РИБНИЦА,394,314
22842,БЛАГОЕВГРАД,ПЕТРИЧ,С. ДОЛНО СПАНЧЕВО,79,90
23488,БЛАГОЕВГРАД,ПЕТРИЧ,С. ДРАГУШ,34,41
23563,БЛАГОЕВГРАД,ПЕТРИЧ,С. ДРАНГОВО,538,479
23683,БЛАГОЕВГРАД,ПЕТРИЧ,С. ДРЕНОВИЦА,13,11
23697,БЛАГОЕВГРАД,ПЕТРИЧ,С. ДРЕНОВО,73,79
31317,БЛАГОЕВГРАД,ПЕТРИЧ,С. ЗОЙЧЕНЕ,42,40
32086,БЛАГОЕВГРАД,ПЕТРИЧ,С. ИВАНОВО,3,6
35081,БЛАГОЕВГРАД,ПЕТРИЧ,С. КАВРАКИРОВО,1659,1607
