ekatte,region,municipality,settlement,permanent_2019,current_2019
02676,БЛАГОЕВГРАД,БАНСКО,ГР. БАНСКО,9495,8755
21498,БЛАГОЕВГРАД,БАНСКО,ГР. ДОБРИНИЩЕ,2825,2593
17381,БЛАГОЕВГРАД,БАНСКО,С. ГОСТУН,28,44
39614,БЛАГОЕВГРАД,БАНСКО,С. КРЕМЕН,151,160
47857,БЛАГОЕВГРАД,БАНСКО,С. МЕСТА,223,231
53059,БЛАГОЕВГРАД,БАНСКО,С. ОБИДИМ,75,87
54136,БЛАГОЕВГРАД,БАНСКО,С. ОСЕНОВО,47,55
76090,БЛАГОЕВГРАД,БАНСКО,С. ФИЛИПОВО,659,623
03504,БЛАГОЕВГРАД,БЕЛИЦА,ГР. БЕЛИЦА,3343,3071
02107,БЛАГОЕВГРАД,БЕЛИЦА,С. БАБЯК,769,727
77596,БЛАГОЕВГРАД,БЕЛИЦА,С. ГОРНО КРАИЩЕ,1257,1185
15638,БЛАГОЕВГРАД,БЕЛИЦА,С. ГЪЛЪБОВО,35,40
20064,БЛАГОЕВГРАД,БЕЛИЦА,С. ДАГОНОВО,790,737
14521,БЛАГОЕВГРАД,БЕЛИЦА,С. ЗЛАТАРИЦА,77,87
39270,БЛАГОЕВГРАД,БЕЛИЦА,С. КРАИЩЕ,2668,2496
40453,БЛАГОЕВГРАД,БЕЛИЦА,С. КУЗЬОВО,262,248
44762,БЛАГОЕВГРАД,БЕЛИЦА,С. ЛЮТОВО,222,220
53998,БЛАГОЕВГРАД,БЕЛИЦА,С. ОРЦЕВО,166,155
59330,БЛАГОЕВГРАД,БЕЛИЦА,С. ПАЛАТИК,219,208
80649,БЛАГОЕВГРАД,БЕЛИЦА,С. ЧЕРЕШОВО,291,253
04279,БЛАГОЕВГРАД,БЛАГОЕВГРАД,ГР. БЛАГОЕВГРАД,82586,74673
03664,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. БЕЛО ПОЛЕ,12115,645
04217,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. БИСТРИЦА,573,66
07168,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. БУЧИНО,132,47
07377,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. БЪЛГАРЧЕВО,611,322
14204,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ГАБРОВО,796,42
17004,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ГОРНО ХЪРСОВО,594,131
20328,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ДЕБОЧИЦА,42,30
20540,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ДЕЛВИНО,597,91
23652,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ДРЕНКОВО,53,45
24367,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ДЪБРАВА,628,129
27231,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЕЛЕНОВО,523,198
30702,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЗЕЛЕНДОЛ,225,199
00134,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ИЗГРЕВ,730,585
37263,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. КЛИСУРА,18,13
43520,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЛЕШКО,1323,219
43863,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЛИСИЯ,8,7
68792,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЛОГОДАЖ,4653,316
47370,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. МАРУЛЕВО,556,83
49179,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. МОЩАНЕЦ,26,46
53031,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ОБЕЛ,38,25
55107,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ПАДЕШ,537,559
57159,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ПОКРОВНИК,3464,908
62699,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. РИЛЦИ,5499,832
66055,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. СЕЛИЩЕ,262,294
78464,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЦЕРОВО,731,697
17395,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,ГР. ГОЦЕ ДЕЛЧЕВ,22006,20087
02600,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. БАНИЧАН,601,560
05606,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. БОРОВО,1159,1012
06306,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. БРЕЗНИЦА,3871,3446
07003,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. БУКОВО,1108,960
17347,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. ГОСПОДИНЦИ,523,497
20585,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. ДЕЛЧЕВО,40,29
21680,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. ДОБРОТИНО,27,33
38666,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. КОРНИЦА,2358,1642
44416,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. ЛЪЖНИЦА,2067,1646
49432,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. МОСОМИЩЕ,2157,2082
02381,БЛАГОЕВГРАД,ГЪРМЕН,С. БАЛДЕВО,181,174
16763,БЛАГОЕВГРАД,ГЪРМЕН,С. ГОРНО ДРЯНОВО,1073,1009
18366,БЛАГОЕВГРАД,ГЪРМЕН,С. ГЪРМЕН,2153,1866
20331,БЛАГОЕВГРАД,ГЪРМЕН,С. ДЕБРЕН,2592,2370
22616,БЛАГОЕВГРАД,ГЪРМЕН,С. ДОЛНО ДРЯНОВО,1338,1242
24267,БЛАГОЕВГРАД,ГЪРМЕН,С. ДЪБНИЦА,2325,1886
37472,БЛАГОЕВГРАД,ГЪРМЕН,С. КОВАЧЕВИЦА,50,43
40138,БЛАГОЕВГРАД,ГЪРМЕН,С. КРУШЕВО,269,243
43606,БЛАГОЕВГРАД,ГЪРМЕН,С. ЛЕЩЕН,4,7
47408,БЛАГОЕВГРАД,ГЪРМЕН,С. МАРЧЕВО,138,170
53326,БЛАГОЕВГРАД,ГЪРМЕН,С. ОГНЯНОВО,1708,1525
53727,БЛАГОЕВГРАД,ГЪРМЕН,С. ОРЕШЕ,217,202
54184,БЛАГОЕВГРАД,ГЪРМЕН,С. ОСИКОВО,574,515
62640,БЛАГОЕВГРАД,ГЪРМЕН,С. РИБНОВО,3084,2708
66874,БЛАГОЕВГРАД,ГЪРМЕН,С. СКРЕБАТНО,272,241
77222,БЛАГОЕВГРАД,ГЪРМЕН,С. ХВОСТЯНЕ,1390,755
39699,БЛАГОЕВГРАД,КРЕСНА,ГР. КРЕСНА,3549,3690
11569,БЛАГОЕВГРАД,КРЕСНА,С. ВЛАХИ,5,13
16136,БЛАГОЕВГРАД,КРЕСНА,С. ГОРНА БРЕЗНИЦА,466,623
22068,БЛАГОЕВГРАД,КРЕСНА,С. ДОЛНА ГРАДЕШНИЦА,597,659
54537,БЛАГОЕВГРАД,КРЕСНА,С. ОЩАВА,54,85
67369,БЛАГОЕВГРАД,КРЕСНА,С. СЛИВНИЦА,579,628
56126,БЛАГОЕВГРАД,ПЕТРИЧ,ГР. ПЕТРИЧ,40688,30031
02806,БЛАГОЕВГРАД,ПЕТРИЧ,С. БАСКАЛЦИ,60,52
03294,БЛАГОЕВГРАД,ПЕТРИЧ,С. БЕЛАСИЦА,1164,1005
66322,БЛАГОЕВГРАД,ПЕТРИЧ,С. БОГОРОДИЦА,37,11
05596,БЛАГОЕВГРАД,ПЕТРИЧ,С. БОРОВИЧЕНЕ,43,48
11358,БЛАГОЕВГРАД,ПЕТРИЧ,С. ВИШЛЕНЕ,46,45
12036,БЛАГОЕВГРАД,ПЕТРИЧ,С. ВОЛНО,49,11
14091,БЛАГОЕВГРАД,ПЕТРИЧ,С. ГАБРЕНЕ,952,724
14581,БЛАГОЕВГРАД,ПЕТРИЧ,С. ГЕГА,226,230
58390,БЛАГОЕВГРАД,ПЕТРИЧ,С. ГЕНЕРАЛ ТОДОРОВ,669,611
17302,БЛАГОЕВГРАД,ПЕТРИЧ,С. ГОРЧЕВО,2,3
21885,БЛАГОЕВГРАД,ПЕТРИЧ,С. ДОЛЕНЕ,14,15
22143,БЛАГОЕВГРАД,ПЕТРИЧ,С. ДОЛНА КРУШИЦА,167,167
22246,БЛАГОЕВГРАД,ПЕТРИЧ,С. ДОЛНА РИБНИЦА,397,316
22842,БЛАГОЕВГРАД,ПЕТРИЧ,С. ДОЛНО СПАНЧЕВО,80,89
23488,БЛАГОЕВГРАД,ПЕТРИЧ,С. ДРАГУШ,34,41
23563,БЛАГОЕВГРАД,ПЕТРИЧ,С. ДРАНГОВО,537,480
23683,БЛАГОЕВГРАД,ПЕТРИЧ,С. ДРЕНОВИЦА,13,12
23697,БЛАГОЕВГРАД,ПЕТРИЧ,С. ДРЕНОВО,75,81
31317,БЛАГОЕВГРАД,ПЕТРИЧ,С. ЗОЙЧЕНЕ,42,41
32086,БЛАГОЕВГРАД,ПЕТРИЧ,С. ИВАНОВО,3,6
35081,БЛАГОЕВГРАД,ПЕТРИЧ,С. КАВРАКИРОВО,1669,1613
35688,БЛАГОЕВГРАД,ПЕТРИЧ,С. КАМЕНА,308,264
36083,БЛАГОЕВГРАД,ПЕТРИЧ,С. КАПАТОВО,141,177
37143,БЛАГОЕВГРАД,ПЕТРИЧ,С. КЛАДЕНЦИ,33,33
37349,БЛАГОЕВГРАД,ПЕТРИЧ,С. КЛЮЧ,1014,815
37989,БЛАГОЕВГРАД,ПЕТРИЧ,С. КОЛАРОВО,2051,1865
39935,БЛАГОЕВГРАД,ПЕТРИЧ,С. КРОМИДОВО,103,117
40302,БЛАГОЕВГРАД,ПЕТРИЧ,С. КРЪНДЖИЛИЦА,6,5
40508,БЛАГОЕВГРАД,ПЕТРИЧ,С. КУКУРАХЦЕВО,46,45
40539,БЛАГОЕВГРАД,ПЕТРИЧ,С. КУЛАТА,778,740
