ekatte,region,municipality,settlement,permanent_2001,current_2001
02676,БЛАГОЕВГРАД,БАНСКО,ГР. БАНСКО,9404,8784
17381,БЛАГОЕВГРАД,БАНСКО,С. ГОСТУН,103,110
21498,БЛАГОЕВГРАД,БАНСКО,С. ДОБРИНИЩЕ,3077,3017
39614,БЛАГОЕВГРАД,БАНСКО,С. КРЕМЕН,352,338
47857,БЛАГОЕВГРАД,БАНСКО,С. МЕСТА,288,287
53059,БЛАГОЕВГРАД,БАНСКО,С. ОБИДИМ,174,184
54136,БЛАГОЕВГРАД,БАНСКО,С. ОСЕНОВО,134,117
76090,БЛАГОЕВГРАД,БАНСКО,С. ФИЛИПОВО,673,639
02107,БЛАГОЕВГРАД,БЕЛИЦА,С. БАБЯК,855,815
03504,БЛАГОЕВГРАД,БЕЛИЦА,ГР. БЕЛИЦА,3623,3427
14521,БЛАГОЕВГРАД,БЕЛИЦА,С. ЗЛАТАРИЦА,182,177
15638,БЛАГОЕВГРАД,БЕЛИЦА,С. ГЪЛЪБОВО,136,128
20064,БЛАГОЕВГРАД,БЕЛИЦА,С. ДАГОНОВО,735,727
39270,БЛАГОЕВГРАД,БЕЛИЦА,С. КРАИЩЕ,2231,2211
40453,БЛАГОЕВГРАД,БЕЛИЦА,С. КУЗЬОВО,326,328
44762,БЛАГОЕВГРАД,БЕЛИЦА,С. ЛЮТОВО,256,241
53998,БЛАГОЕВГРАД,БЕЛИЦА,С. ОРЦЕВО,231,223
59330,БЛАГОЕВГРАД,БЕЛИЦА,С. ПАЛАТНИК,249,244
77596,БЛАГОЕВГРАД,БЕЛИЦА,С. ГОРНО КРАИЩЕ,1123,1082
80649,БЛАГОЕВГРАД,БЕЛИЦА,С. ЧЕРЕШОВО,297,277
00134,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ИЗГРЕВ,463,534
03664,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. БЕЛО ПОЛЕ,570,602
04217,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. БИСТРИЦА,62,118
04279,БЛАГОЕВГРАД,БЛАГОЕВГРАД,ГР. БЛАГОЕВГРАД,77394,77550
07168,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. БУЧИНО,105,95
07377,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. БЪЛГАРЧЕВО,247,295
14204,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ГАБРОВО,68,73
17004,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ГОРНО ХЪРСОВО,35,206
20328,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ДЕБОЧИЦА,26,50
20540,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ДЕЛВИНО,15,79
23652,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ДРЕНКОВО,86,102
24367,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ДЪБРАВА,92,93
27231,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЕЛЕНОВО,122,139
30702,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЗЕЛЕНДОЛ,200,247
37263,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. КЛИСУРА,13,24
43520,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЛЕШКО,266,264
43863,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЛИСИЯ,23,27
47370,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. МАРУЛЕВО,33,75
49179,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. МОЩАНЕЦ,43,58
53031,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ОБЕЛ,14,24
55107,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ПАДЕШ,730,760
57159,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ПОКРОВНИК,790,811
62699,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. РИЛЦИ,779,827
66055,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. СЕЛИЩЕ,267,392
68792,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЛОГОДАЖ,233,296
78464,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЦЕРОВО,662,649
02600,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. БАНИЧАН,684,670
05606,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. БОРОВО,1210,1163
06306,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. БРЕЗНИЦА,3717,3522
07003,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. БУКОВО,963,912
17347,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. ГОСПОДИНЦИ,432,442
17395,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,ГР. ГОЦЕ ДЕЛЧЕВ,22673,21196
20585,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. ДЕЛЧЕВО,98,90
21680,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. ДОБРОТИНО,63,65
23460,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. ДРАГОСТИН,8,1
38666,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. КОРНИЦА,2192,1732
44416,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. ЛЪЖНИЦА,1795,1436
49432,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. МУСОМИЩА,2354,2357
68391,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. СРЕДНА,10,49
02381,БЛАГОЕВГРАД,ГЪРМЕН,С. БАЛДЕВО,251,264
16763,БЛАГОЕВГРАД,ГЪРМЕН,С. ГОРНО ДРЯНОВО,1117,1083
