ekatte,region,municipality,settlement,permanent_2018,current_2018
02676,БЛАГОЕВГРАД,БАНСКО,ГР. БАНСКО,9370,8625
21498,БЛАГОЕВГРАД,БАНСКО,ГР. ДОБРИНИЩЕ,2836,2626
17381,БЛАГОЕВГРАД,БАНСКО,С. ГОСТУН,31,49
39614,БЛАГОЕВГРАД,БАНСКО,С. КРЕМЕН,158,170
47857,БЛАГОЕВГРАД,БАНСКО,С. МЕСТА,231,229
53059,БЛАГОЕВГРАД,БАНСКО,С. ОБИДИМ,80,93
54136,БЛАГОЕВГРАД,БАНСКО,С. ОСЕНОВО,51,51
76090,БЛАГОЕВГРАД,БАНСКО,С. ФИЛИПОВО,656,622
03504,БЛАГОЕВГРАД,БЕЛИЦА,ГР. БЕЛИЦА,3370,3113
02107,БЛАГОЕВГРАД,БЕЛИЦА,С. БАБЯК,773,708
77596,БЛАГОЕВГРАД,БЕЛИЦА,С. ГОРНО КРАИЩЕ,1263,1195
15638,БЛАГОЕВГРАД,БЕЛИЦА,С. ГЪЛЪБОВО,39,43
20064,БЛАГОЕВГРАД,БЕЛИЦА,С. ДАГОНОВО,786,725
14521,БЛАГОЕВГРАД,БЕЛИЦА,С. ЗЛАТАРИЦА,77,93
39270,БЛАГОЕВГРАД,БЕЛИЦА,С. КРАИЩЕ,2654,2492
40453,БЛАГОЕВГРАД,БЕЛИЦА,С. КУЗЬОВО,271,264
44762,БЛАГОЕВГРАД,БЕЛИЦА,С. ЛЮТОВО,225,210
53998,БЛАГОЕВГРАД,БЕЛИЦА,С. ОРЦЕВО,169,161
59330,БЛАГОЕВГРАД,БЕЛИЦА,С. ПАЛАТИК,224,211
80649,БЛАГОЕВГРАД,БЕЛИЦА,С. ЧЕРЕШОВО,296,267
04279,БЛАГОЕВГРАД,БЛАГОЕВГРАД,ГР. БЛАГОЕВГРАД,82528,74805
03664,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. БЕЛО ПОЛЕ,11409,652
04217,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. БИСТРИЦА,340,63
07168,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. БУЧИНО,118,48
07377,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. БЪЛГАРЧЕВО,607,314
14204,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ГАБРОВО,733,36
17004,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ГОРНО ХЪРСОВО,287,116
20328,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ДЕБОЧИЦА,41,28
20540,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ДЕЛВИНО,584,90
23652,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ДРЕНКОВО,59,45
24367,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ДЪБРАВА,625,101
27231,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЕЛЕНОВО,500,186
30702,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЗЕЛЕНДОЛ,217,210
00134,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ИЗГРЕВ,723,590
37263,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. КЛИСУРА,18,13
43520,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЛЕШКО,1033,210
43863,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЛИСИЯ,8,7
68792,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЛОГОДАЖ,4490,320
